GEOID,NAME,Age,estimate,approx_moe
48027022200,"Census Tract 222, Bell County, Texas",55-64,41,28.319604517012593
48027022200,"Census Tract 222, Bell County, Texas",65-74,18,20.518284528683193
48027022300,"Census Tract 223, Bell County, Texas",55-64,194,75.66372975210778
48027022300,"Census Tract 223, Bell County, Texas",65-74,33,41.7612260356422
48027022401,"Census Tract 224.01, Bell County, Texas",55-64,171,108.93117092916977
48027022401,"Census Tract 224.01, Bell County, Texas",65-74,191,98.2344135219425
48027022402,"Census Tract 224.02, Bell County, Texas",55-64,258,91.28526715741155
48027022402,"Census Tract 224.02, Bell County, Texas",65-74,104,77.3692445355388
48027022403,"Census Tract 224.03, Bell County, Texas",55-64,274,82.73451516749222
48027022403,"Census Tract 224.03, Bell County, Texas",65-74,37,28.635642126552707
48027022404,"Census Tract 224.04, Bell County, Texas",55-64,408,137.64446955835166
48027022404,"Census Tract 224.04, Bell County, Texas",65-74,135,101.76934705499491
48027022405,"Census Tract 224.05, Bell County, Texas",55-64,72,51.22499389946279
48027022405,"Census Tract 224.05, Bell County, Texas",65-74,48,37.16180835212409
48027022501,"Census Tract 225.01, Bell County, Texas",55-64,103,50.44799302251776
48027022501,"Census Tract 225.01, Bell County, Texas",65-74,66,54.56189146281496
48027022502,"Census Tract 225.02, Bell County, Texas",55-64,336,147.6651617681029
48027022502,"Census Tract 225.02, Bell County, Texas",65-74,158,104.89041900955492
48027022600,"Census Tract 226, Bell County, Texas",55-64,138,74.63243262818116
48027022600,"Census Tract 226, Bell County, Texas",65-74,29,32.202484376209235
48027022801,"Census Tract 228.01, Bell County, Texas",55-64,63,45.65084884205331
48027022801,"Census Tract 228.01, Bell County, Texas",65-74,10,20.518284528683193
48027022900,"Census Tract 229, Bell County, Texas",55-64,113,50.60632371551998
48027022900,"Census Tract 229, Bell County, Texas",65-74,42,37.12142238654117
48027023000,"Census Tract 230, Bell County, Texas",55-64,121,75.92759709091287
48027023000,"Census Tract 230, Bell County, Texas",65-74,79,61.71709649683789
48027023103,"Census Tract 231.03, Bell County, Texas",55-64,216,75.92759709091287
48027023103,"Census Tract 231.03, Bell County, Texas",65-74,145,67.35725647619564
48027023104,"Census Tract 231.04, Bell County, Texas",55-64,101,44.553338819890925
48027023104,"Census Tract 231.04, Bell County, Texas",65-74,42,48.08326112068523
48027023105,"Census Tract 231.05, Bell County, Texas",55-64,282,130.728726758888
48027023105,"Census Tract 231.05, Bell County, Texas",65-74,138,89.49860334105779
48027023106,"Census Tract 231.06, Bell County, Texas",55-64,341,161.33505508723144
48027023106,"Census Tract 231.06, Bell County, Texas",65-74,21,39.824615503479755
48027023107,"Census Tract 231.07, Bell County, Texas",55-64,171,94.15412895885129
48027023107,"Census Tract 231.07, Bell County, Texas",65-74,121,81.60882305241266
48027023108,"Census Tract 231.08, Bell County, Texas",55-64,98,80.05623023850174
48027023108,"Census Tract 231.08, Bell County, Texas",65-74,282,155.79473675320358
48027023201,"Census Tract 232.01, Bell County, Texas",55-64,0,14
48027023201,"Census Tract 232.01, Bell County, Texas",65-74,0,14
48027023202,"Census Tract 232.02, Bell County, Texas",55-64,0,14
48027023202,"Census Tract 232.02, Bell County, Texas",65-74,0,14
48027023203,"Census Tract 232.03, Bell County, Texas",55-64,0,14
48027023203,"Census Tract 232.03, Bell County, Texas",65-74,0,14
48027023204,"Census Tract 232.04, Bell County, Texas",55-64,4,16.1245154965971
48027023204,"Census Tract 232.04, Bell County, Texas",65-74,0,14
48027023300,"Census Tract 233, Bell County, Texas",55-64,227,87.11486669908874
48027023300,"Census Tract 233, Bell County, Texas",65-74,136,81.02468759581859
48027023402,"Census Tract 234.02, Bell County, Texas",55-64,40,43.382023926967726
48027023402,"Census Tract 234.02, Bell County, Texas",65-74,14,29.832867780352597
48027023403,"Census Tract 234.03, Bell County, Texas",55-64,26,29.698484809834994
48027023403,"Census Tract 234.03, Bell County, Texas",65-74,0,19
48027023404,"Census Tract 234.04, Bell County, Texas",55-64,44,36.76955262170047
48027023404,"Census Tract 234.04, Bell County, Texas",65-74,17,11.40175425099138
48027023500,"Census Tract 235, Bell County, Texas",55-64,76,38.897300677553446
48027023500,"Census Tract 235, Bell County, Texas",65-74,17,18.439088914585774
48027980001,"Census Tract 9800.01, Bell County, Texas",55-64,0,14
48027980001,"Census Tract 9800.01, Bell County, Texas",65-74,0,14
48027980002,"Census Tract 9800.02, Bell County, Texas",55-64,0,14
48027980002,"Census Tract 9800.02, Bell County, Texas",65-74,0,14
48027980003,"Census Tract 9800.03, Bell County, Texas",55-64,0,14
48027980003,"Census Tract 9800.03, Bell County, Texas",65-74,0,14
48029110100,"Census Tract 1101, Bexar County, Texas",55-64,21,43.32435804486894
48029110100,"Census Tract 1101, Bexar County, Texas",65-74,19,40.496913462633174
48029110300,"Census Tract 1103, Bexar County, Texas",55-64,10,21.2602916254693
48029110300,"Census Tract 1103, Bexar County, Texas",65-74,0,14
48029110500,"Census Tract 1105, Bexar County, Texas",55-64,12,13.45362404707371
48029110500,"Census Tract 1105, Bexar County, Texas",65-74,0,14
48029110600,"Census Tract 1106, Bexar County, Texas",55-64,38,33.421549934136806
48029110600,"Census Tract 1106, Bexar County, Texas",65-74,10,26.1725046566048
48029110700,"Census Tract 1107, Bexar County, Texas",55-64,0,14
48029110700,"Census Tract 1107, Bexar County, Texas",65-74,0,14
48029110800,"Census Tract 1108, Bexar County, Texas",55-64,23,33.1058907144937
48029110800,"Census Tract 1108, Bexar County, Texas",65-74,32,25.238858928247925
48029110900,"Census Tract 1109, Bexar County, Texas",55-64,0,14
48029110900,"Census Tract 1109, Bexar County, Texas",65-74,28,36.76955262170047
48029111000,"Census Tract 1110, Bexar County, Texas",55-64,8,19.1049731745428
48029111000,"Census Tract 1110, Bexar County, Texas",65-74,27,32.69556544854363
48029120100,"Census Tract 1201, Bexar County, Texas",55-64,0,14
48029120100,"Census Tract 1201, Bexar County, Texas",65-74,25,41.43669871020132
48029120300,"Census Tract 1203, Bexar County, Texas",55-64,0,19
48029120300,"Census Tract 1203, Bexar County, Texas",65-74,13,36.359317925395686
48029120400,"Census Tract 1204, Bexar County, Texas",55-64,25,32.802438933713454
48029120400,"Census Tract 1204, Bexar County, Texas",65-74,66,67.54257916307313
48029120501,"Census Tract 1205.01, Bexar County, Texas",55-64,173,129.1394595001853
48029120501,"Census Tract 1205.01, Bexar County, Texas",65-74,51,43.86342439892262
48029120502,"Census Tract 1205.02, Bexar County, Texas",55-64,23,22.67156809750927
48029120502,"Census Tract 1205.02, Bexar County, Texas",65-74,24,34.66987164671943
48029120600,"Census Tract 1206, Bexar County, Texas",55-64,82,77.12976079309465
48029120600,"Census Tract 1206, Bexar County, Texas",65-74,25,33.83784863137726
48029120701,"Census Tract 1207.01, Bexar County, Texas",55-64,21,33.015148038438355
48029120701,"Census Tract 1207.01, Bexar County, Texas",65-74,6,23.021728866442675
48029120702,"Census Tract 1207.02, Bexar County, Texas",55-64,10,26.076809620810597
48029120702,"Census Tract 1207.02, Bexar County, Texas",65-74,15,27.784887978899608
48029120800,"Census Tract 1208, Bexar County, Texas",55-64,0,19
48029120800,"Census Tract 1208, Bexar County, Texas",65-74,15,21.587033144922902
48029120901,"Census Tract 1209.01, Bexar County, Texas",55-64,9,19.1049731745428
48029120901,"Census Tract 1209.01, Bexar County, Texas",65-74,0,14
48029120902,"Census Tract 1209.02, Bexar County, Texas",55-64,103,90.80198235721508
48029120902,"Census Tract 1209.02, Bexar County, Texas",65-74,179,174.6453549339346
48029121000,"Census Tract 1210, Bexar County, Texas",55-64,45,56.302753041036986
48029121000,"Census Tract 1210, Bexar County, Texas",65-74,17,30.610455730027933
48029121108,"Census Tract 1211.08, Bexar County, Texas",55-64,31,52.55473337388365
48029121108,"Census Tract 1211.08, Bexar County, Texas",65-74,0,19
48029121110,"Census Tract 1211.10, Bexar County, Texas",55-64,31,40.70626487409524
48029121110,"Census Tract 1211.10, Bexar County, Texas",65-74,9,25.495097567963924
48029121111,"Census Tract 1211.11, Bexar County, Texas",55-64,69,68.00735254367721
48029121111,"Census Tract 1211.11, Bexar County, Texas",65-74,0,19
48029121112,"Census Tract 1211.12, Bexar County, Texas",55-64,8,18.439088914585774
48029121112,"Census Tract 1211.12, Bexar County, Texas",65-74,18,25.238858928247925
48029121115,"Census Tract 1211.15, Bexar County, Texas",55-64,109,122.09013064126027
48029121115,"Census Tract 1211.15, Bexar County, Texas",65-74,0,19
48029121116,"Census Tract 1211.16, Bexar County, Texas",55-64,35,41.677331968349414
48029121116,"Census Tract 1211.16, Bexar County, Texas",65-74,49,72.53275122315436
48029121117,"Census Tract 1211.17, Bexar County, Texas",55-64,57,33.54101966249684
48029121117,"Census Tract 1211.17, Bexar County, Texas",65-74,17,24.413111231467404
48029121118,"Census Tract 1211.18, Bexar County, Texas",55-64,45,68.6804193347711
48029121118,"Census Tract 1211.18, Bexar County, Texas",65-74,52,61.5223536610881
48029121119,"Census Tract 1211.19, Bexar County, Texas",55-64,38,59.54829972383762
48029121119,"Census Tract 1211.19, Bexar County, Texas",65-74,0,19
48029121120,"Census Tract 1211.20, Bexar County, Texas",55-64,33,41.593268686170845
48029121120,"Census Tract 1211.20, Bexar County, Texas",65-74,0,19
48029121121,"Census Tract 1211.21, Bexar County, Texas",55-64,39,37.36308338453881
48029121121,"Census Tract 1211.21, Bexar County, Texas",65-74,5,17.204650534085253
48029121122,"Census Tract 1211.22, Bexar County, Texas",55-64,41,36.40054944640259
48029121122,"Census Tract 1211.22, Bexar County, Texas",65-74,25,21.400934559032695
48029121203,"Census Tract 1212.03, Bexar County, Texas",55-64,64,75.31268153505093
48029121203,"Census Tract 1212.03, Bexar County, Texas",65-74,25,43.32435804486894
48029121204,"Census Tract 1212.04, Bexar County, Texas",55-64,176,104.75208828467335
48029121204,"Census Tract 1212.04, Bexar County, Texas",65-74,29,33.421549934136806
48029121205,"Census Tract 1212.05, Bexar County, Texas",55-64,40,53.85164807134504
48029121205,"Census Tract 1212.05, Bexar County, Texas",65-74,0,14
48029121206,"Census Tract 1212.06, Bexar County, Texas",55-64,244,167.86899654194636
48029121206,"Census Tract 1212.06, Bexar County, Texas",65-74,159,135.4400236266961
48029121300,"Census Tract 1213, Bexar County, Texas",55-64,158,106.25441167311595
48029121300,"Census Tract 1213, Bexar County, Texas",65-74,124,83.52843827104634
