Year,Race,Sex,Age,Pop
2019,W,F,80-84,155756
2019,AI,M,80-84,751
2019,API,M,80-84,7158
2019,B,M,80-84,12731
2019,W,M,80-84,118425
2019,AI,F,85+,955
2019,API,F,85+,7541
2019,B,F,85+,22127
2019,W,F,85+,172281
2019,AI,M,85+,699
2019,API,M,85+,5050
2019,B,M,85+,10068
2019,W,M,85+,101234
1999,H,F,20-24,282021
1999,H,M,20-24,321096
1999,H,F,25-29,281419
1999,H,M,25-29,307973
1999,H,F,30-34,258793
1999,H,M,30-34,284239
1999,H,F,35-39,241302
1999,H,M,35-39,259665
1999,H,F,40-44,205033
1999,H,M,40-44,213509
1999,H,F,45-49,164424
1999,H,M,45-49,163797
1999,H,F,50-54,129538
1999,H,M,50-54,123343
1999,H,F,55-59,91583
1999,H,M,55-59,82683
1999,H,F,60-64,75062
1999,H,M,60-64,64059
1999,H,F,65-69,63188
1999,H,M,65-69,50706
1999,H,F,70-74,53460
1999,H,M,70-74,39837
1999,H,F,75-79,37482
1999,H,M,75-79,27018
1999,H,F,80-84,20531
1999,H,M,80-84,13108
1999,H,F,85+,19371
1999,H,M,85+,10015
2000,H,F,20-24,292561
2000,H,M,20-24,335679
2000,H,F,25-29,294660
2000,H,M,25-29,323957
2000,H,F,30-34,267359
2000,H,M,30-34,291974
2000,H,F,35-39,250047
2000,H,M,35-39,269220
2000,H,F,40-44,215800
2000,H,M,40-44,226274
2000,H,F,45-49,174029
2000,H,M,45-49,174084
2000,H,F,50-54,139297
2000,H,M,50-54,133203
2000,H,F,55-59,98154
2000,H,M,55-59,89168
2000,H,F,60-64,77516
2000,H,M,60-64,66473
2000,H,F,65-69,65662
2000,H,M,65-69,53269
2000,H,F,70-74,55525
2000,H,M,70-74,41875
2000,H,F,75-79,39851
2000,H,M,75-79,28860
2000,H,F,80-84,21724
2000,H,M,80-84,13992
2000,H,F,85+,20248
2000,H,M,85+,10516
2001,H,F,20-24,303394
2001,H,M,20-24,348975
2001,H,F,25-29,301962
2001,H,M,25-29,333124
2001,H,F,30-34,279262
2001,H,M,30-34,299898
2001,H,F,35-39,257256
2001,H,M,35-39,275789
2001,H,F,40-44,226372
2001,H,M,40-44,236750
2001,H,F,45-49,183199
2001,H,M,45-49,183759
2001,H,F,50-54,148758
2001,H,M,50-54,142773
2001,H,F,55-59,104896
2001,H,M,55-59,95967
2001,H,F,60-64,80072
2001,H,M,60-64,69071
2001,H,F,65-69,67934
2001,H,M,65-69,55125
2001,H,F,70-74,56992
2001,H,M,70-74,42978
2001,H,F,75-79,42032
2001,H,M,75-79,30218
2001,H,F,80-84,23462
2001,H,M,80-84,15166
2001,H,F,85+,20437
2001,H,M,85+,10579
2002,H,F,20-24,315166
2002,H,M,20-24,364276
2002,H,F,25-29,308845
2002,H,M,25-29,340985
2002,H,F,30-34,292407
2002,H,M,30-34,311053
2002,H,F,35-39,263864
2002,H,M,35-39,280948
2002,H,F,40-44,236219
2002,H,M,40-44,246867
2002,H,F,45-49,194335
2002,H,M,45-49,195301
2002,H,F,50-54,155222
2002,H,M,50-54,149746
2002,H,F,55-59,114411
2002,H,M,55-59,105208
2002,H,F,60-64,83542
2002,H,M,60-64,72417
2002,H,F,65-69,70039
2002,H,M,65-69,56790
2002,H,F,70-74,58744
2002,H,M,70-74,44298
2002,H,F,75-79,43648
2002,H,M,75-79,31195
2002,H,F,80-84,25885
2002,H,M,80-84,16857
2002,H,F,85+,20637
2002,H,M,85+,10507
2003,H,F,20-24,326941
2003,H,M,20-24,376432
2003,H,F,25-29,313653
2003,H,M,25-29,347174
2003,H,F,30-34,303965
2003,H,M,30-34,320295
2003,H,F,35-39,271607
2003,H,M,35-39,286079
2003,H,F,40-44,246291
2003,H,M,40-44,256654
2003,H,F,45-49,203843
2003,H,M,45-49,205725
2003,H,F,50-54,163458
2003,H,M,50-54,158028
2003,H,F,55-59,123858
2003,H,M,55-59,114155
2003,H,F,60-64,87601
2003,H,M,60-64,76200
2003,H,F,65-69,73071
2003,H,M,65-69,59574
2003,H,F,70-74,59561
2003,H,M,70-74,45113
2003,H,F,75-79,45897
2003,H,M,75-79,32272
2003,H,F,80-84,27975
2003,H,M,80-84,18540
2003,H,F,85+,21259
2003,H,M,85+,10908
2004,H,F,20-24,334120
2004,H,M,20-24,382982
2004,H,F,25-29,319323
2004,H,M,25-29,353899
2004,H,F,30-34,314263
2004,H,M,30-34,328559
2004,H,F,35-39,279564
2004,H,M,35-39,291582
2004,H,F,40-44,256788
2004,H,M,40-44,266463
2004,H,F,45-49,213329
2004,H,M,45-49,216392
2004,H,F,50-54,172130
2004,H,M,50-54,166448
2004,H,F,55-59,132867
2004,H,M,55-59,123580
2004,H,F,60-64,93213
2004,H,M,60-64,81270
2004,H,F,65-69,75551
2004,H,M,65-69,61739
2004,H,F,70-74,60906
2004,H,M,70-74,46634
2004,H,F,75-79,47706
2004,H,M,75-79,33374
2004,H,F,80-84,30366
2004,H,M,80-84,20249
2004,H,F,85+,21991
2004,H,M,85+,11253
2005,H,F,20-24,338715
2005,H,M,20-24,386861
2005,H,F,25-29,328360
2005,H,M,25-29,362608
2005,H,F,30-34,323243
2005,H,M,30-34,336585
2005,H,F,35-39,289447
2005,H,M,35-39,299222
2005,H,F,40-44,265620
2005,H,M,40-44,273828
2005,H,F,45-49,224874
2005,H,M,45-49,229032
2005,H,F,50-54,180396
2005,H,M,50-54,175762
2005,H,F,55-59,143363
2005,H,M,55-59,132610
2005,H,F,60-64,99673
2005,H,M,60-64,87271
2005,H,F,65-69,77415
2005,H,M,65-69,63944
2005,H,F,70-74,62643
2005,H,M,70-74,48582
2005,H,F,75-79,49751
2005,H,M,75-79,34969
2005,H,F,80-84,32326
2005,H,M,80-84,21272
2005,H,F,85+,23756
2005,H,M,85+,12196
2006,H,F,20-24,342844
2006,H,M,20-24,388940
2006,H,F,25-29,339444
2006,H,M,25-29,372638
2006,H,F,30-34,332019
2006,H,M,30-34,346428
2006,H,F,35-39,304129
2006,H,M,35-39,309586
2006,H,F,40-44,274451
2006,H,M,40-44,282699
2006,H,F,45-49,236252
2006,H,M,45-49,240766
2006,H,F,50-54,190517
2006,H,M,50-54,185856
2006,H,F,55-59,153206
2006,H,M,55-59,142477
2006,H,F,60-64,106758
2006,H,M,60-64,93986
2006,H,F,65-69,80913
2006,H,M,65-69,67193
2006,H,F,70-74,65497
2006,H,M,70-74,50583
2006,H,F,75-79,51421
2006,H,M,75-79,36274
2006,H,F,80-84,34500
2006,H,M,80-84,22617
2006,H,F,85+,25182
2006,H,M,85+,13106
2007,H,F,20-24,347283
2007,H,M,20-24,391097
2007,H,F,25-29,350943
2007,H,M,25-29,384058
2007,H,F,30-34,340865
2007,H,M,30-34,354915
2007,H,F,35-39,320151
2007,H,M,35-39,323159
2007,H,F,40-44,282874
2007,H,M,40-44,290245
2007,H,F,45-49,247030
2007,H,M,45-49,251904
2007,H,F,50-54,202875
2007,H,M,50-54,198151
2007,H,F,55-59,160166
2007,H,M,55-59,149467
2007,H,F,60-64,116659
2007,H,M,60-64,103214
2007,H,F,65-69,84542
2007,H,M,65-69,70646
2007,H,F,70-74,67587
2007,H,M,70-74,52292
2007,H,F,75-79,53143
2007,H,M,75-79,37420
2007,H,F,80-84,35954
2007,H,M,80-84,23553
2007,H,F,85+,26991
2007,H,M,85+,14207
2008,H,F,20-24,353416
2008,H,M,20-24,394965
2008,H,F,25-29,362116
2008,H,M,25-29,393831
2008,H,F,30-34,347392
2008,H,M,30-34,362788
2008,H,F,35-39,333892
2008,H,M,35-39,335733
2008,H,F,40-44,291852
2008,H,M,40-44,298041
2008,H,F,45-49,257931
2008,H,M,45-49,263355
2008,H,F,50-54,213393
2008,H,M,50-54,209605
2008,H,F,55-59,168691
2008,H,M,55-59,157828
2008,H,F,60-64,126495
2008,H,M,60-64,112336
2008,H,F,65-69,89059
2008,H,M,65-69,74745
2008,H,F,70-74,70828
2008,H,M,70-74,55157
2008,H,F,75-79,54145
2008,H,M,75-79,38309
2008,H,F,80-84,38028
2008,H,M,80-84,24532
2008,H,F,85+,28552
2008,H,M,85+,15591
2009,H,F,20-24,362264
2009,H,M,20-24,400851
2009,H,F,25-29,370186
2009,H,M,25-29,400364
2009,H,F,30-34,355050
2009,H,M,30-34,371253
2009,H,F,35-39,346394
2009,H,M,35-39,346616
2009,H,F,40-44,301186
2009,H,M,40-44,306558
2009,H,F,45-49,269687
2009,H,M,45-49,274863
2009,H,F,50-54,224133
2009,H,M,50-54,221366
2009,H,F,55-59,177884
2009,H,M,55-59,166474
2009,H,F,60-64,135559
2009,H,M,60-64,121940
2009,H,F,65-69,94872
2009,H,M,65-69,79898
2009,H,F,70-74,73179
2009,H,M,70-74,57115
2009,H,F,75-79,55325
2009,H,M,75-79,39678
2009,H,F,80-84,39635
2009,H,M,80-84,25430
2009,H,F,85+,30602
2009,H,M,85+,16859
2010,H,F,20-24,372704
2010,H,M,20-24,410039
2010,H,F,25-29,373565
2010,H,M,25-29,402343
2010,H,F,30-34,364375
2010,H,M,30-34,380278
2010,H,F,35-39,355865
2010,H,M,35-39,355283
2010,H,F,40-44,311419
2010,H,M,40-44,315422
2010,H,F,45-49,278245
2010,H,M,45-49,282958
2010,H,F,50-54,235894
2010,H,M,50-54,233912
2010,H,F,55-59,186501
2010,H,M,55-59,175848
2010,H,F,60-64,145571
2010,H,M,60-64,130969
2010,H,F,65-69,101224
2010,H,M,65-69,85724
2010,H,F,70-74,75173
2010,H,M,70-74,59301
2010,H,F,75-79,57109
2010,H,M,75-79,41449
2010,H,F,80-84,41469
2010,H,M,80-84,26832
2010,H,F,85+,33078
2010,H,M,85+,18145
2011,H,F,20-24,385822
2011,H,M,20-24,420584
2011,H,F,25-29,376899
2011,H,M,25-29,408080
2011,H,F,30-34,371852
2011,H,M,30-34,389076
2011,H,F,35-39,361491
2011,H,M,35-39,361965
2011,H,F,40-44,323761
2011,H,M,40-44,323892
2011,H,F,45-49,284916
2011,H,M,45-49,290436
2011,H,F,50-54,244880
2011,H,M,50-54,242982
2011,H,F,55-59,195895
2011,H,M,55-59,185228
2011,H,F,60-64,153886
2011,H,M,60-64,139262
2011,H,F,65-69,107415
2011,H,M,65-69,91623
2011,H,F,70-74,77766
2011,H,M,70-74,61820
2011,H,F,75-79,59462
2011,H,M,75-79,43040
2011,H,F,80-84,43108
2011,H,M,80-84,28171
2011,H,F,85+,35654
2011,H,M,85+,19544
2012,H,F,20-24,400838
2012,H,M,20-24,434225
2012,H,F,25-29,379142
2012,H,M,25-29,413376
2012,H,F,30-34,379273
2012,H,M,30-34,399537
2012,H,F,35-39,365782
2012,H,M,35-39,368202
2012,H,F,40-44,336553
2012,H,M,40-44,334745
2012,H,F,45-49,291387
2012,H,M,45-49,295610
2012,H,F,50-54,253567
2012,H,M,50-54,252446
2012,H,F,55-59,206591
2012,H,M,55-59,195808
2012,H,F,60-64,159540
2012,H,M,60-64,144665
2012,H,F,65-69,116383
2012,H,M,65-69,99884
2012,H,F,70-74,80873
2012,H,M,70-74,64661
2012,H,F,75-79,61584
2012,H,M,75-79,44773
2012,H,F,80-84,44691
2012,H,M,80-84,29330
2012,H,F,85+,38112
2012,H,M,85+,21006
2013,H,F,20-24,412577
2013,H,M,20-24,444419
2013,H,F,25-29,382443
2013,H,M,25-29,418758
2013,H,F,30-34,386208
2013,H,M,30-34,408826
2013,H,F,35-39,368497
2013,H,M,35-39,374859
2013,H,F,40-44,346873
2013,H,M,40-44,343972
2013,H,F,45-49,298189
2013,H,M,45-49,301671
2013,H,F,50-54,262435
2013,H,M,50-54,261650
2013,H,F,55-59,215331
2013,H,M,55-59,205275
2013,H,F,60-64,166555
2013,H,M,60-64,151182
2013,H,F,65-69,124382
2013,H,M,65-69,107604
2013,H,F,70-74,84951
2013,H,M,70-74,68327
2013,H,F,75-79,64303
2013,H,M,75-79,47021
2013,H,F,80-84,45660
2013,H,M,80-84,30156
2013,H,F,85+,40579
2013,H,M,85+,22537
2014,H,F,20-24,424194
2014,H,M,20-24,455452
2014,H,F,25-29,389052
2014,H,M,25-29,426882
2014,H,F,30-34,392545
2014,H,M,30-34,417201
2014,H,F,35-39,372159
2014,H,M,35-39,381940
2014,H,F,40-44,356919
2014,H,M,40-44,353371
2014,H,F,45-49,305703
2014,H,M,45-49,307759
2014,H,F,50-54,271516
2014,H,M,50-54,270831
2014,H,F,55-59,224158
2014,H,M,55-59,215314
2014,H,F,60-64,174508
2014,H,M,60-64,158606
2014,H,F,65-69,132171
2014,H,M,65-69,115040
2014,H,F,70-74,89969
2014,H,M,70-74,72608
2014,H,F,75-79,66556
2014,H,M,75-79,48976
2014,H,F,80-84,47051
2014,H,M,80-84,31417
2014,H,F,85+,43163
2014,H,M,85+,24056
2015,H,F,20-24,431476
2015,H,M,20-24,462640
2015,H,F,25-29,399319
2015,H,M,25-29,438195
2015,H,F,30-34,395973
2015,H,M,30-34,422778
2015,H,F,35-39,380166
2015,H,M,35-39,394277
2015,H,F,40-44,365072
2015,H,M,40-44,362938
2015,H,F,45-49,315978
2015,H,M,45-49,317036
2015,H,F,50-54,279220
2015,H,M,50-54,278470
2015,H,F,55-59,234059
2015,H,M,55-59,226424
2015,H,F,60-64,183067
2015,H,M,60-64,167437
2015,H,F,65-69,140594
2015,H,M,65-69,122386
2015,H,F,70-74,95440
2015,H,M,70-74,77446
2015,H,F,75-79,68550
2015,H,M,75-79,51012
2015,H,F,80-84,48608
2015,H,M,80-84,32827
2015,H,F,85+,46268
2015,H,M,85+,25838
2016,H,F,20-24,435776
2016,H,M,20-24,466172
2016,H,F,25-29,411722
2016,H,M,25-29,449591
2016,H,F,30-34,399732
2016,H,M,30-34,430968
2016,H,F,35-39,387747
2016,H,M,35-39,404704
2016,H,F,40-44,370895
2016,H,M,40-44,370934
2016,H,F,45-49,329019
2016,H,M,45-49,326733
2016,H,F,50-54,286177
2016,H,M,50-54,286253
2016,H,F,55-59,242596
2016,H,M,55-59,235285
2016,H,F,60-64,192310
2016,H,M,60-64,176588
2016,H,F,65-69,148820
2016,H,M,65-69,130134
2016,H,F,70-74,101302
2016,H,M,70-74,82735
2016,H,F,75-79,71011
2016,H,M,75-79,53206
2016,H,F,80-84,50648
2016,H,M,80-84,34226
2016,H,F,85+,48900
2016,H,M,85+,27615
2017,H,F,20-24,437552
2017,H,M,20-24,466921
2017,H,F,25-29,425300
2017,H,M,25-29,460740
2017,H,F,30-34,401350
2017,H,M,30-34,435993
2017,H,F,35-39,395079
2017,H,M,35-39,415207
2017,H,F,40-44,375195
2017,H,M,40-44,377480
2017,H,F,45-49,341234
2017,H,M,45-49,337740
2017,H,F,50-54,291952
2017,H,M,50-54,291402
2017,H,F,55-59,250755
2017,H,M,55-59,244317
2017,H,F,60-64,202216
2017,H,M,60-64,186496
2017,H,F,65-69,154070
2017,H,M,65-69,134988
2017,H,F,70-74,109786
2017,H,M,70-74,90288
2017,H,F,75-79,73748
2017,H,M,75-79,55617
2017,H,F,80-84,52684
2017,H,M,80-84,35695
2017,H,F,85+,51395
2017,H,M,85+,29356
2018,H,F,20-24,442320
2018,H,M,20-24,468737
2018,H,F,25-29,436094
2018,H,M,25-29,469751
2018,H,F,30-34,403262
2018,H,M,30-34,441109
2018,H,F,35-39,402441
2018,H,M,35-39,424263
2018,H,F,40-44,377867
2018,H,M,40-44,384500
2018,H,F,45-49,351784
2018,H,M,45-49,346614
2018,H,F,50-54,298755
2018,H,M,50-54,297548
2018,H,F,55-59,259589
2018,H,M,55-59,253427
2018,H,F,60-64,210596
2018,H,M,60-64,195428
2018,H,F,65-69,161077
2018,H,M,65-69,141051
2018,H,F,70-74,117165
2018,H,M,70-74,97476
2018,H,F,75-79,77517
2018,H,M,75-79,58665
2018,H,F,80-84,55056
2018,H,M,80-84,37619
2018,H,F,85+,53650
2018,H,M,85+,30738
2019,H,F,20-24,449464
2019,H,M,20-24,473865
2019,H,F,25-29,445726
2019,H,M,25-29,478418
2019,H,F,30-34,408033
2019,H,M,30-34,447022
2019,H,F,35-39,407973
2019,H,M,35-39,432459
2019,H,F,40-44,380852
2019,H,M,40-44,391071
2019,H,F,45-49,361342
2019,H,M,45-49,355685
2019,H,F,50-54,305791
2019,H,M,50-54,303612
2019,H,F,55-59,268498
2019,H,M,55-59,262445
2019,H,F,60-64,218888
2019,H,M,60-64,205112
2019,H,F,65-69,168761
2019,H,M,65-69,147892
2019,H,F,70-74,124503
2019,H,M,70-74,104416
2019,H,F,75-79,82108
2019,H,M,75-79,62355
2019,H,F,80-84,56901
2019,H,M,80-84,39078
2019,H,F,85+,56000
2019,H,M,85+,32504
