Year,Race,Sex,Age,Pop
2019,Total,M,35-39,1040150
2019,Total,F,40-44,938809
2019,Total,M,40-44,938778
2019,Total,F,45-49,934150
2019,Total,M,45-49,919257
2019,Total,F,50-54,857158
2019,Total,M,50-54,843533
2019,Total,F,55-59,878614
2019,Total,M,55-59,843231
2019,Total,F,60-64,805063
2019,Total,M,60-64,748334
2019,Total,F,65-69,670175
2019,Total,M,65-69,590967
2019,Total,F,70-74,527882
2019,Total,M,70-74,456004
2019,Total,F,75-79,364846
2019,Total,M,75-79,294498
2019,Total,F,80-84,243255
2019,Total,M,80-84,178143
2019,Total,F,85+,258904
2019,Total,M,85+,149555
1999,AI,F,20-24,2671
1999,API,F,20-24,23075
1999,B,F,20-24,91296
1999,W,F,20-24,326597
1999,AI,M,20-24,2842
1999,API,M,20-24,24694
1999,B,M,20-24,89382
1999,W,M,20-24,335238
1999,AI,F,25-29,2823
1999,API,F,25-29,29734
1999,B,F,25-29,97144
1999,W,F,25-29,362288
1999,AI,M,25-29,3099
1999,API,M,25-29,31389
1999,B,M,25-29,91021
1999,W,M,25-29,367517
1999,AI,F,30-34,2803
1999,API,F,30-34,28192
1999,B,F,30-34,98842
1999,W,F,30-34,383140
1999,AI,M,30-34,2822
1999,API,M,30-34,29340
1999,B,M,30-34,91631
1999,W,M,30-34,387678
1999,AI,F,35-39,3667
1999,API,F,35-39,26620
1999,B,F,35-39,107449
1999,W,F,35-39,464920
1999,AI,M,35-39,3414
1999,API,M,35-39,26702
1999,B,M,35-39,98157
1999,W,M,35-39,465512
1999,AI,F,40-44,3580
1999,API,F,40-44,25586
1999,B,F,40-44,98752
1999,W,F,40-44,467335
1999,AI,M,40-44,3353
1999,API,M,40-44,22919
1999,B,M,40-44,92111
1999,W,M,40-44,471630
1999,AI,F,45-49,3038
1999,API,F,45-49,22418
1999,B,F,45-49,80781
1999,W,F,45-49,422771
1999,AI,M,45-49,3031
1999,API,M,45-49,19528
1999,B,M,45-49,73419
1999,W,M,45-49,420871
1999,AI,F,50-54,2652
1999,API,F,50-54,17119
1999,B,F,50-54,60039
1999,W,F,50-54,373884
1999,AI,M,50-54,2477
1999,API,M,50-54,15268
1999,B,M,50-54,52712
1999,W,M,50-54,369749
1999,AI,F,55-59,1765
1999,API,F,55-59,10822
1999,B,F,55-59,43562
1999,W,F,55-59,295919
1999,AI,M,55-59,1911
1999,API,M,55-59,10168
1999,B,M,55-59,36904
1999,W,M,55-59,287975
1999,AI,F,60-64,1166
1999,API,F,60-64,7916
1999,B,F,60-64,35582
1999,W,F,60-64,243242
1999,AI,M,60-64,1249
1999,API,M,60-64,6921
1999,B,M,60-64,28825
1999,W,M,60-64,229351
1999,AI,F,65-69,809
1999,API,F,65-69,6068
1999,B,F,65-69,31654
1999,W,F,65-69,222632
1999,AI,M,65-69,831
1999,API,M,65-69,4785
1999,B,M,65-69,24165
1999,W,M,65-69,199856
1999,AI,F,70-74,622
1999,API,F,70-74,4276
1999,B,F,70-74,26732
1999,W,F,70-74,211770
1999,AI,M,70-74,552
1999,API,M,70-74,3047
1999,B,M,70-74,17752
1999,W,M,70-74,170974
1999,AI,F,75-79,402
1999,API,F,75-79,2573
1999,B,F,75-79,20262
1999,W,F,75-79,184249
1999,AI,M,75-79,294
1999,API,M,75-79,1882
1999,B,M,75-79,12735
1999,W,M,75-79,129908
1999,AI,F,80-84,247
1999,API,F,80-84,1346
1999,B,F,80-84,13763
1999,W,F,80-84,131728
1999,AI,M,80-84,139
1999,API,M,80-84,920
1999,B,M,80-84,6965
1999,W,M,80-84,77258
1999,AI,F,85+,204
1999,API,F,85+,902
1999,B,F,85+,15214
1999,W,F,85+,131739
1999,AI,M,85+,69
1999,API,M,85+,556
1999,B,M,85+,5943
1999,W,M,85+,49754
