GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se
48201556000,6774,378.11550151975683,0.11588426335990552,0.033665098643849804,0,0.17056396148555708,0.14718430034129693,0.0921551472732575,0,0.011397054534457244,0.018305284912902273,0.011621444660156655,0.05093002657218778,0.028485742312095042,0.04664895187481547,0.020113524759523185,55128,3053.495440729483,21974,1985.4103343465044
48201980000,78,51.671732522796354,0.5256410256410257,0.3236694755221832,NA,NA,0.6029411764705882,0,0,0.9897903514924792,0,0.9897903514924792,0.5256410256410257,0.3236694755221832,0,0.9897903514924792,14773,96527.05167173252,12885,7716.109422492401
48201980100,204,99.69604863221885,0,0.378449252041242,NA,0,0,NA,0,0.378449252041242,0,0.378449252041242,0,0.378449252041242,0,0.378449252041242,18911,8341.641337386018,9913,2835.8662613981764
48203020102,4761,369.6048632218845,0.18147448015122875,0.03493287375900239,NA,0.4282608695652174,0.2718204488778055,0.09467103304554927,0,0.0162158469683708,0.08275572358748162,0.023923041824383203,0.02289434992648603,0.016118151095838498,0.06679269061121614,0.01684015285192257,45337,3093.0091185410333,21510,1327.051671732523
48203020103,4353,337.38601823708206,0.07443142660234321,0.02804127621865704,0,0.13569321533923304,0,0.06116642958748222,0,0.01773573338304925,0.021134849529060418,0.012461425376902759,0,0.01773573338304925,0.04939122444291293,0.02300546151623796,59650,6314.893617021276,26200,2791.4893617021276
48203020104,3717,230.3951367781155,0.09900457358084477,0.03096220382655757,NA,0.11635944700460829,0.06666666666666667,0.06995364517488412,0,0.02077041899822797,0.02717245090126446,0.019881472279339972,0.005649717514124294,0.00440185038720486,0.04465967177831585,0.018933661416124892,47460,6216.413373860182,26966,2265.6534954407293
48203020200,6975,352.58358662613983,0.12845878136200717,0.024336225060278903,NA,0.20449897750511248,0.3215547703180212,0.1074409518735571,0,0.011068623285507295,0.02867383512544803,0.012992576738687646,0.013046594982078854,0.009127428963967935,0.08673835125448029,0.016690278453459377,47054,5119.148936170212,19750,1288.145896656535
48203020301,4118,234.65045592705167,0.1238465274405051,0.03622421950189927,0,0.44621513944223107,0.1686182669789227,0.09685086155674391,0,0.018747850271105725,0.027197668771248178,0.016015868038231688,0.017484215638659543,0.018130013681820326,0.07916464303059738,0.03588469774202086,57371,8425.531914893618,28675,2069.300911854103
48203020302,3475,322.7963525835866,0.21611510791366906,0.07648022823113318,NA,0.47769516728624534,0.13891081294396213,0.052768166089965395,0,0.02221687695436356,0.1479136690647482,0.057329966901818144,0.05064748201438849,0.041368109754077426,0.017553956834532373,0.012489399381533007,28967,7889.36170212766,14060,1840.7294832826747
48203020401,3795,288.7537993920973,0.37206851119894596,0.06419601634534938,NA,0.4990089197224975,0.41160949868073876,0.09217046580773043,0,0.020343517105774273,0.26534914361001316,0.05230326944844627,0.08221343873517786,0.04068955340949764,0.02450592885375494,0.012678434450098633,22525,3327.0516717325227,11112,1128.2674772036473
48203020402,4080,279.0273556231003,0.2394607843137255,0.042869177466580005,NA,0.26026365348399244,0.4894894894894895,0.07333333333333333,0,0.018922462602062103,0.16936274509803922,0.0393026666013778,0.03995098039215686,0.013888400694172602,0.018872549019607842,0.012448916198132376,27315,5623.70820668693,15093,1401.823708206687
48203020501,2601,345.8966565349544,0.15955401768550556,0.057938643975157876,NA,0.1942098914354644,0.18461538461538463,0.12737642585551331,0,0.029682294277744475,0.06189926951172626,0.0319096884327625,0.0461361014994233,0.02327804784699731,0.05151864667435602,0.05308129375337377,32101,5383.586626139818,15651,1640.1215805471124
48203020502,5079,383.5866261398176,0.1498326442213034,0.052168314484880234,0.6756756756756757,0.3976190476190476,0,0.04528681650452868,0.024611143925969678,0.017014364421411514,0.09864146485528648,0.04898821327473569,0,0.015200560625401333,0.026580035440047254,0.015429590784141769,50769,7802.431610942249,28459,2729.483282674772
48203020603,5820,379.9392097264438,0.1372852233676976,0.033607600632074505,0,0.0625,0.2545090180360721,0.13386678200692043,0,0.01326523151484766,0.00429553264604811,0.006469865620574728,0.021821305841924397,0.016231910807445744,0.1063573883161512,0.02657859237701321,63737,5026.13981762918,23924,1772.0364741641338
48203020604,4116,382.370820668693,0.19630709426627793,0.050572454032438145,NA,0.17349397590361446,0.10476190476190476,0.20528135806350203,0,0.018756960013705873,0.03498542274052478,0.02593876607187496,0.002672497570456754,0.0029433998667699568,0.1586491739552964,0.04428263759688788,31357,8488.145896656535,19929,2958.6626139817627
48203020605,5416,301.5197568389058,0.039327917282127034,0.01782475618880044,NA,0,0.12658227848101267,0.03471039182282794,0,0.014254735490475144,0,0.014254735490475144,0.009231905465288036,0.008402446691185322,0.030096011816838995,0.012119105369596673,69187,4693.617021276596,27493,2277.2036474164133
48203020606,4091,272.3404255319149,0.08750916646296748,0.030353822979225016,NA,0.1921921921921922,0,0.08239910313901345,0,0.018871583333271418,0.015644096797848936,0.014971932457880968,0,0.018871583333271418,0.07186506966511855,0.027523192997014664,46495,8578.115501519756,27006,2463.22188449848
