GEOID,Age,Race,estimate,moe
48009020200,75-84,WHITE,41,31
48009020300,55-64,API,0,127
48009020300,55-64,BLACK,0,127
48009020300,55-64,LATINO,18,15.264337522473747
48009020300,55-64,WHITE,385,57.48912940721924
48009020300,65-74,API,17,180.7844019820294
48009020300,65-74,BLACK,4,127.1927670899568
48009020300,65-74,LATINO,6,127.3184982632139
48009020300,65-74,WHITE,282,53.81449618829484
48009020300,75-84,API,0,127
48009020300,75-84,BLACK,4,7
48009020300,75-84,LATINO,0,127
48009020300,75-84,WHITE,135,43
48011950100,55-64,API,0,127
48011950100,55-64,BLACK,10,128.00390619039717
48011950100,55-64,LATINO,21,26.570660511172846
48011950100,55-64,WHITE,246,41.773197148410844
48011950100,65-74,API,0,127
48011950100,65-74,BLACK,0,127
48011950100,65-74,LATINO,0,127
48011950100,65-74,WHITE,197,27.313000567495326
48011950100,75-84,API,0,127
48011950100,75-84,BLACK,0,127
48011950100,75-84,LATINO,0,127
48011950100,75-84,WHITE,64,16
48013960100,55-64,API,23,222.14409737825582
48013960100,55-64,BLACK,0,127
48013960100,55-64,LATINO,345,122.38055401083949
48013960100,55-64,WHITE,495,171.011695506477
48013960100,65-74,API,0,127
48013960100,65-74,BLACK,22,132.00378782444085
48013960100,65-74,LATINO,209,94.04786015641186
48013960100,65-74,WHITE,334,121.26417442921878
48013960100,75-84,API,0,127
48013960100,75-84,BLACK,0,127
48013960100,75-84,LATINO,35,39
48013960100,75-84,WHITE,50,42
48013960201,55-64,API,0,127
48013960201,55-64,BLACK,17,22.47220505424423
48013960201,55-64,LATINO,302,94.92101980067429
48013960201,55-64,WHITE,267,86.2670273047588
48013960201,65-74,API,0,127
48013960201,65-74,BLACK,0,127
48013960201,65-74,LATINO,205,82.87943049997388
48013960201,65-74,WHITE,147,68.8839603971781
48013960201,75-84,API,0,127
48013960201,75-84,BLACK,0,127
48013960201,75-84,LATINO,34,30
48013960201,75-84,WHITE,85,62
48013960202,55-64,API,0,127
48013960202,55-64,BLACK,0,127
48013960202,55-64,LATINO,620,170.0823330037544
48013960202,55-64,WHITE,571,140.18559127100045
48013960202,65-74,API,0,127
48013960202,65-74,BLACK,0,127
48013960202,65-74,LATINO,304,118.10588469674151
48013960202,65-74,WHITE,474,138.62178760930766
48013960202,75-84,API,0,127
48013960202,75-84,BLACK,0,127
48013960202,75-84,LATINO,149,85
48013960202,75-84,WHITE,83,66
48013960300,55-64,API,15,221.16961816669124
48013960300,55-64,BLACK,0,127
48013960300,55-64,LATINO,420,120.50726119201282
48013960300,55-64,WHITE,60,33.24154027718932
48013960300,65-74,API,14,221.16961816669124
48013960300,65-74,BLACK,0,127
48013960300,65-74,LATINO,181,83.6301381082203
48013960300,65-74,WHITE,63,138.3979768638256
48013960300,75-84,API,0,127
48013960300,75-84,BLACK,0,127
48013960300,75-84,LATINO,35,33
48013960300,75-84,WHITE,8,15
48013960401,55-64,API,0,127
48013960401,55-64,BLACK,0,127
48013960401,55-64,LATINO,214,102.55242561733974
48013960401,55-64,WHITE,80,68.00735254367721
48013960401,65-74,API,0,127
48013960401,65-74,BLACK,0,127
48013960401,65-74,LATINO,178,86.05230967266364
48013960401,65-74,WHITE,23,130.26895255585654
48013960401,75-84,API,0,127
48013960401,75-84,BLACK,0,127
48013960401,75-84,LATINO,0,127
48013960401,75-84,WHITE,0,127
48013960402,55-64,API,9,220.4812917233569
48013960402,55-64,BLACK,0,127
48013960402,55-64,LATINO,340,103.47946656221224
48013960402,55-64,WHITE,454,121.01652779682617
48013960402,65-74,API,0,127
48013960402,65-74,BLACK,0,127
48013960402,65-74,LATINO,109,54.120236510939236
48013960402,65-74,WHITE,316,103.58571330062848
48013960402,75-84,API,0,127
48013960402,75-84,BLACK,0,127
48013960402,75-84,LATINO,43,50
48013960402,75-84,WHITE,158,87
48013960500,55-64,API,0,127
48013960500,55-64,BLACK,0,127
48013960500,55-64,LATINO,135,50.93132631298737
48013960500,55-64,WHITE,85,37.589892258425
48013960500,65-74,API,0,127
48013960500,65-74,BLACK,0,127
48013960500,65-74,LATINO,108,48.41487374764082
48013960500,65-74,WHITE,23,18.867962264113206
48013960500,75-84,API,0,127
48013960500,75-84,BLACK,0,127
48013960500,75-84,LATINO,44,43
48013960500,75-84,WHITE,18,19
48013960600,55-64,API,0,127
48013960600,55-64,BLACK,0,127
48013960600,55-64,LATINO,163,73.55270219373317
48013960600,55-64,WHITE,451,122.03687967167957
48013960600,65-74,API,18,222.0067566539361
48013960600,65-74,BLACK,0,127
48013960600,65-74,LATINO,91,63.28506932918696
48013960600,65-74,WHITE,209,99.00505037623081
48013960600,75-84,API,0,127
48013960600,75-84,BLACK,0,127
48013960600,75-84,LATINO,26,23
48013960600,75-84,WHITE,95,62
48015760100,55-64,API,0,127
48015760100,55-64,BLACK,9,8.602325267042627
48015760100,55-64,LATINO,38,29.154759474226502
48015760100,55-64,WHITE,231,75.0066663703967
48015760100,65-74,API,0,127
48015760100,65-74,BLACK,2,127.06297651164952
48015760100,65-74,LATINO,8,8.602325267042627
48015760100,65-74,WHITE,153,81.59656855530139
48015760100,75-84,API,0,127
48015760100,75-84,BLACK,3,5
48015760100,75-84,LATINO,14,17
48015760100,75-84,WHITE,77,50
48015760200,55-64,API,0,127
48015760200,55-64,BLACK,64,49.24428900898052
48015760200,55-64,LATINO,112,62.48199740725323
48015760200,55-64,WHITE,508,124.45882853377658
48015760200,65-74,API,0,127
48015760200,65-74,BLACK,22,25.079872407968907
48015760200,65-74,LATINO,58,42.44997055358225
48015760200,65-74,WHITE,303,79.92496481075234
48015760200,75-84,API,0,127
48015760200,75-84,BLACK,28,41
48015760200,75-84,LATINO,2,3
48015760200,75-84,WHITE,154,103
48015760300,55-64,API,0,127
48015760300,55-64,BLACK,11,18.601075237738275
48015760300,55-64,LATINO,91,56.859475903318
48015760300,55-64,WHITE,669,172.6267650163207
48015760300,65-74,API,0,127
48015760300,65-74,BLACK,0,127
48015760300,65-74,LATINO,25,128.56515857727553
48015760300,65-74,WHITE,401,85.27602242131137
48015760300,75-84,API,0,127
48015760300,75-84,BLACK,0,127
48015760300,75-84,LATINO,0,127
48015760300,75-84,WHITE,119,81
48015760400,55-64,API,0,127
48015760400,55-64,BLACK,8,11.40175425099138
48015760400,55-64,LATINO,14,128.7245120402482
48015760400,55-64,WHITE,541,123.7457069962429
48015760400,65-74,API,12,220.78949250360625
48015760400,65-74,BLACK,36,42.579337712087536
48015760400,65-74,LATINO,5,127.66362050325849
48015760400,65-74,WHITE,367,88.40814442120137
48015760400,75-84,API,0,127
48015760400,75-84,BLACK,20,26
48015760400,75-84,LATINO,0,127
48015760400,75-84,WHITE,125,66
48015760501,55-64,API,0,127
48015760501,55-64,BLACK,0,127
48015760501,55-64,LATINO,120,65.21502894272147
48015760501,55-64,WHITE,560,181.6645259812713
48015760501,65-74,API,0,127
48015760501,65-74,BLACK,114,86.40023148117139
48015760501,65-74,LATINO,60,134.08206442324789
48015760501,65-74,WHITE,287,84.81155581640984
48015760501,75-84,API,0,127
48015760501,75-84,BLACK,0,127
48015760501,75-84,LATINO,0,127
48015760501,75-84,WHITE,59,51
48015760502,55-64,API,0,127
48015760502,55-64,BLACK,19,130.49521064008442
48015760502,55-64,LATINO,0,127
48015760502,55-64,WHITE,434,134.31678971744373
48015760502,65-74,API,0,127
48015760502,65-74,BLACK,73,84.43340571124678
48015760502,65-74,LATINO,19,26.076809620810597
48015760502,65-74,WHITE,435,99.15644204992432
48015760502,75-84,API,0,127
48015760502,75-84,BLACK,0,127
48015760502,75-84,LATINO,0,127
48015760502,75-84,WHITE,206,123
48017950100,55-64,API,0,127
48017950100,55-64,BLACK,0,127
48017950100,55-64,LATINO,179,85.14693182963201
48017950100,55-64,WHITE,729,91.54780172128658
48017950100,65-74,API,0,127
48017950100,65-74,BLACK,0,127
48017950100,65-74,LATINO,96,143.1258187749506
48017950100,65-74,WHITE,386,94.79451460923254
48017950100,75-84,API,0,127
48017950100,75-84,BLACK,0,127
48017950100,75-84,LATINO,0,127
48017950100,75-84,WHITE,141,67
48019000101,55-64,API,0,127
48019000101,55-64,BLACK,0,127
48019000101,55-64,LATINO,21,132.5631924781536
48019000101,55-64,WHITE,546,135.05924625881784
48019000101,65-74,API,23,223.40098477849196
48019000101,65-74,BLACK,0,127
