GEOID,hh_pop,api,black,latino,white,pov_population,pov_rate,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_black_rate2,pov_latino_rate2,pov_white_rate2,median_income,per_capita_income,nativity
48061012607,2072,0,0.0028957528957528956,0.9816602316602316,0.01447876447876448,2083,0.23907825252040327,0,NA,0.23907825252040327,NA,0,0,0.23907825252040327,0,38893.09015421115,11001.720047449584,0.3564189189189189
48061012608,2833,0.0024708789269325803,0.0024708789269325803,0.7762089657606778,0.21708436286621954,2970,0.22188552188552188,NA,1,0.25092099877200164,0.08984375,0,0.009427609427609427,0.20639730639730638,0.015488215488215488,48721.69039145907,17364.555160142347,0.2661924372894047
48061012609,6064,8.245382585751979e-4,6.596306068601583e-4,0.9920844327176781,0.0079155672823219,5926,0.6090111373607829,1,NA,0.606532147742818,0.7948717948717948,8.437394532568343e-4,0,0.5985487681403983,0.010462369220384746,25064.270462633453,6231.826809015421,0.5012643454580821
48061012610,1192,0.006711409395973154,0.018456375838926176,0.9404362416107382,0.04278523489932886,1264,0.7009493670886076,NA,NA,0.7065390749601276,0,0,0,0.7009493670886076,0,14736.945432977462,6784.145907473309,0.25231053604436227
48061012611,1454,0.008940852819807428,0.007565337001375516,0.7943603851444292,0.18363136176066025,1496,0.34692513368983957,NA,NA,0.3985209531635168,0.12186379928315412,0,0,0.32419786096256686,0.022727272727272728,28199.537366548044,20602.544483985766,0.31226765799256506
48061012612,5543,0.0055926393649648205,0.009020386072523904,0.8942810752300199,0.09290997654699622,5532,0.12924801156905277,0,0.1111111111111111,0.13402061855670103,0.10773480662983426,0,0.0023499638467100506,0.12219812002892264,0.0070498915401301515,63480.96678529063,18114.875444839858,0.2575726773734499
48061012613,4895,0.049642492339121554,0.012257405515832482,0.7940755873340143,0.1432073544433095,4888,0.1368657937806874,0.1870967741935484,0.32653061224489793,0.15336345381526104,0.03129657228017884,0.005932896890343699,0.0032733224222585926,0.125,0.004296235679214402,68655.79478054566,23867.33096085409,0.3570310753409345
48061012700,4287,0.0013995801259622112,0.0037322136692325637,0.9132260321903429,0.08304175414042454,4271,0.3999063451182393,NA,0,0.42103922567498725,0.1661631419939577,0,0,0.38702879887614144,0.01287754624209787,35271.00830367734,9545.741399762752,0.35237097196751377
48061012800,4803,8.328128253175099e-4,0.0029148448886112846,0.9718925671455341,0.02560899437851343,4783,0.33535438009617397,0,1,0.34049409237379163,0.15447154471544716,0,8.3629521220991e-4,0.33138197783817686,0.003972402257997073,31781.42348754448,12898.362989323843,0.3446069469835466
48061012900,3610,0.002493074792243767,0.0016620498614958448,0.7382271468144044,0.2545706371191136,3641,0.24388904147212304,NA,0,0.28894564027727104,0.10810810810810811,0,0,0.2175226586102719,0.02636638286185114,46674.68564650059,23216.755634638197,0.2766143106457243
48061013002,4264,0.01899624765478424,0.005628517823639775,0.8046435272045028,0.16557223264540338,4238,0.18617272298253892,0.13333333333333333,0,0.21679125934445084,0.04264705882352941,0.001415762151958471,0,0.17791411042944785,0.00684285040113261,50604.934756820876,24954.104389086595,0.266028955532575
48061013003,2019,0.021792966815255076,0.009905894006934125,0.888558692421991,0.0787518573551263,1981,0.4149419485108531,0.5128205128205128,1,0.43415977961432506,0,0.010095911155981827,0.007067137809187279,0.397778899545684,0,37063.44009489917,15639.1162514828,0.2978170478170478
48061013004,3249,0.010156971375807941,0.0049245921822099106,0.8304093567251462,0.15143120960295475,3252,0.22908979089790898,0,NA,0.24411445128576603,0.16037735849056603,0,0,0.2072570725707257,0.020910209102091022,44118.5349940688,18472.17081850534,0.31338375534363694
48061013102,2126,0.00799623706491063,0,0.7634054562558796,0.22389463781749766,2143,0.17592160522631825,0,NA,0.18171428571428572,0.16076294277929154,0,0,0.14839010732617824,0.027531497900139992,68963.96204033215,23565.11862396204,0.2756729810568295
48061013104,3743,0.008014961261020572,0.002938819129040876,0.81912904087630245,0.16457387122628908,3721,0.19591507659231389,0.7843137254901961,0,0.2191142191142191,0.04173106646058733,0.010749798441279226,0,0.17683418435904327,0.007256113947863478,53747.645314353496,27017.485172004745,0.3037757437070938
48061013106,4319,0.003473026163463765,0,0.9212780736281546,0.07200740912248206,4300,0.4232558139534884,0,0.5555555555555556,0.41906202723146746,0.5392491467576792,0,0.0011627906976744186,0.38651162790697674,0.036744186046511626,27001.109134045077,12591.684460260973,0.3303594188121336
48061013203,2473,0,0.002426202992317024,0.9231702385766276,0.07319045693489688,2388,0.516750418760469,1,1,0.536185707783341,0.21965317919075145,0.0033500837520938024,0.002931323283082077,0.4932998324958124,0.015912897822445562,23696.126927639383,10098.06049822064,0.3357798165137615
48061013204,2515,0.0015904572564612327,0.0015904572564612327,0.9602385685884692,0.038170974155069586,2534,0.35280189423835834,0,1,0.3675986842105263,0,0,0.0031570639305445935,0.35280189423835834,0,40981.779359430606,11275.64650059312,0.3878787878787879
48061013205,3436,0.0014551804423748546,0.002910360884749709,0.9441210710128056,0.05151338766006985,3440,0.2758720930232558,NA,0,0.2970201858378725,0.07586206896551724,0,0,0.2694767441860465,0.006395348837209302,46344.18742586002,13255.658362989323,0.3504273504273504
48061013206,2855,0.0014010507880910684,0.0024518388791593695,0.975831873905429,0.02276707530647986,2986,0.478231748158071,NA,1,0.4692467173462336,0.7608695652173914,0,0.015740120562625585,0.4547890154052244,0.02344273275284662,29054.06880189798,8878.790035587188,0.3948256467941507
48061013207,3277,3.051571559353067e-4,0.005797985962770827,0.8913640524870308,0.09856576136710406,3200,0.5046875,NA,NA,0.5141808475141808,0.3915343915343915,0,0,0.4815625,0.023125,26319.270462633453,11009.163701067615,0.3792235801581596
48061013208,2435,0,0.003696098562628337,0.9026694045174538,0.09527720739219712,2443,0.48833401555464595,NA,NA,0.50472334682861,0.34299516908212563,0,0,0.45927138763814984,0.029062627916496112,30055.984578884934,12944.513641755635,0.38315988647114474
48061013303,3603,0.008048848182070497,0.0036081043574798777,0.8986955315015265,0.08853733000277547,3587,0.18455533872316698,0,0,0.18647223084083153,0.1942675159235669,0,0,0.16754948424867577,0.017005854474491218,47840.36180308422,17281.1862396204,0.2882827030378177
48061013304,3745,0.003471295060080107,0.005874499332443258,0.910547396528705,0.08304405874499332,3601,0.3193557345181894,NA,0,0.32410472464640383,0.26337448559670784,0,0,0.29908358789225215,0.01777284087753402,39426.05575326216,16032.141162514828,0.30850722311396467
48061013305,5390,0.0018552875695732839,0.0031539888682745824,0.9634508348794063,0.032838589981447126,5402,0.3868937430581266,NA,NA,0.40015449980687523,0.08035714285714286,0,0,0.3835616438356164,0.0033320992225101815,37064.928825622774,10419.626334519573,0.3815789473684211
48061013306,3115,0,0.0012841091492776886,0.981701444622793,0.018298555377207062,3156,0.3428390367553866,NA,0,0.35232823184630413,0,0,0,0.3428390367553866,0,36211.88612099644,9639.53143534994,0.3971929824561404
48061013307,2621,0.002289202594429607,7.630675314765357e-4,0.9870278519648988,0.011064479206409768,2592,0.5520833333333334,NA,NA,0.5520833333333334,NA,0,0,0.5520833333333334,0,25169.97034400949,8280.32028469751,0.43781512605042017
48061013308,2602,7.686395080707148e-4,0,0.9861644888547272,0.013835511145272867,2675,0.36822429906542054,NA,0,0.36577054146156757,0.7307692307692307,0,0,0.3611214953271028,0.007102803738317757,36332.47330960854,9041.061684460261,0.44178364987613544
48061013309,3070,3.257328990228013e-4,0.0016286644951140066,0.9833876221498371,0.015960912052117263,3021,0.4448857994041708,NA,0,0.44341188184533686,1,0,0,0.4422376696458126,0.0026481297583581596,35145.95492289442,7637.188612099644,0.4478574137277209
48061013401,3121,0,9.612303748798462e-4,0.9679589875040051,0.031079782121115028,3118,0.5920461834509301,NA,1,0.595640858815875,0.3409090909090909,0,3.2071840923669016e-4,0.5872354073123798,0.004810776138550353,20599.56702253855,7902.182680901542,0.4164889836531628
48061013402,2629,0.0030429821224800305,0.006846709775580068,0.9767972613160898,0.02320273868391023,2652,0.4845399698340875,NA,NA,0.49233716475095785,0,0,0,0.4845399698340875,0,26768.867141162515,9320.94306049822,0.44324324324324327
48061013500,2174,0.0022999080036798527,0.0018399264029438822,0.718951241950322,0.27092916283348667,2147,0.18304611085235212,NA,NA,0.1866925064599483,0.17362270450751252,0,0,0.13460642757335817,0.04843968327899394,63497.3428232503,43855.02965599051,0.25318940137389595
48061013600,3669,0.008449168710820387,0.004088307440719542,0.910874897792314,0.07740528754428999,3715,0.34858681022880217,0,0,0.3594080338266385,0.25925925925925924,0,0,0.3203230148048452,0.026379542395693137,35446.67852906287,13592.111506524318,0.3199890320811626
