GEOID,pov_population,pov_population_se,pov_rate,pov_rate_se,pov_asian_rate1,pov_black_rate1,pov_latino_rate1,pov_white_rate1,pov_asian_rate2,pov_asian_rate2_se,pov_black_rate2,pov_black_rate2_se,pov_latino_rate2,pov_latino_rate2_se,pov_white_rate2,pov_white_rate2_se,median_income,median_income_se,per_capita_income,per_capita_income_se,nativity,nativity_se,pop,api,black,latino,white
48107950100,2039,119.14893617021276,0.2785679254536538,0.0498834461155926,NA,0.4722222222222222,0.35024390243902437,0.1664779161947905,0,0.004173927561487171,0.02501226091221187,0.013936035940224712,0.17606669936243258,0.04474561339192736,0.07209416380578715,0.026197686145008225,38387,2545.896656534954,20717,1775.6838905775076,0.031654676258992806,0.010782316302200298,2085,0.005275779376498801,0.05227817745803357,0.5002398081534772,0.4364508393285372
48107950300,1628,120.9726443768997,0.24508599508599507,0.06392233666597433,0,0.03636363636363636,0.3480345158197507,0.06,0,0.005227664802132887,0.0012285012285012285,0.0011164881800235962,0.22297297297297297,0.06321042170978998,0.018427518427518427,0.008099976593449581,42206,6827.963525835866,20141,1528.2674772036473,0.04914004914004914,0.014545187196393208,1628,0.0085995085995086,0.033783783783783786,0.6406633906633906,0.3071253071253071
48107950200,2091,120.9726443768997,0.10616929698708752,0.023635692660946967,0,0,0.15378079864061173,0.047508690614136734,0,0.004070128310794998,0,0.004070128310794998,0.08656145384983262,0.022712320476584422,0.0196078431372549,0.010404385502905771,44097,4507.598784194529,17656,1132.5227963525836,0.048045219029674985,0.01601659893788797,2123,0.008949599623174752,0.022609514837494113,0.557230334432407,0.41874705605275553
48077030302,2814,105.16717325227964,0.11371712864250177,0.026010495969549234,NA,0.6176470588235294,0.041176470588235294,0.10826542491268917,0,0.0030243917192154727,0.007462686567164179,0.005609798691304773,0.0024875621890547263,0.0019420278641797256,0.09914712153518124,0.025657170710843967,61068,3436.4741641337387,29305,1634.6504559270516,0.025477707006369428,0.011182123509645401,2826,0,0.012031139419674451,0.060155697098372256,0.916135881104034
48077030200,3000,30.3951367781155,0.12866666666666668,0.028744517432749483,NA,NA,0.5873015873015873,0.12384669978708304,0,0.0028368794326241132,0,0.0028368794326241132,0.012333333333333333,0.01013094165706181,0.11633333333333333,0.027735858960455363,46938,6805.47112462006,27611,2702.127659574468,0.01304631441617743,0.007137193725053051,3066,0,0.0042400521852576645,0.028049575994781473,0.928897586431833
48205950200,4120,77.81155015197568,0.06092233009708738,0.01899903911889216,0,0.5,0.12050359712230216,0.04011777695988222,0,0.0028034349455543423,2.4271844660194174e-4,4.4262388614878365e-4,0.032524271844660196,0.016218784845870485,0.026456310679611652,0.010020896790466473,58298,6556.231003039514,20563,1167.7811550151976,0.10072323161051332,0.015469682359322206,5669,0.014464632210266361,0.07496913035808785,0.2672428999823602,0.5997530428647028
48491020302,6348,361.09422492401217,0.05718336483931947,0.015755903069514098,0,0,0.017170329670329672,0.07873282087118565,0,0.0018194946401518418,0,0.0018194946401518418,0.003938248267170762,0.0037280274576588345,0.053245116572148705,0.015312688949087183,104107,11876.595744680852,41885,3151.367781155015,0.11343612334801761,0.03563437502969213,6356,0.037444933920704845,0.04373820012586532,0.2290748898678414,0.6766834487098804
48491020406,6654,350.7598784194529,0.09377817853922453,0.0297404191964344,0.13559322033898305,0.006134969325153374,0.15064102564102563,0.05741509894942585,0.0036068530207394047,0.0036494101659121686,3.0057108506161706e-4,4.565200916766211e-4,0.04238052299368801,0.023831571197753212,0.03531710249474001,0.012007275363853173,59414,2558.0547112462004,38885,4440.729483282675,0.08716561466786896,0.027667424548513085,6654,0.02660054102795311,0.048993086865043584,0.2813345356176736,0.6151187255785994
48491020703,11802,583.5866261398177,0.12404677173360447,0.0422576468225197,0.04775687409551375,0.2526446795270691,0.13367666815942678,0.0677117352492924,0.0027961362480935434,0.0027264443211521814,0.03440094899169632,0.028794530312645412,0.050584646670055924,0.024752520060581488,0.02635146585324521,0.010738003821796677,77624,3110.6382978723404,31007,2572.644376899696,0.17200474495848161,0.03445298623819529,11802,0.05854939840704965,0.13616336214200983,0.37841043890865955,0.38917132689374684
48491021503,4775,306.99088145896656,0.11057591623036649,0.034410740568148745,0,0.20384615384615384,0.19705434230573896,0.03127715030408341,0,0.001782332627826668,0.011099476439790576,0.008372068180965468,0.0812565445026178,0.03281453608243251,0.015078534031413612,0.0065487292200081615,53237,4592.09726443769,27193,1649.240121580547,0.1955727051177904,0.05206140733630239,4924,0.0119821283509342,0.06722177091795288,0.40475223395613324,0.47887896019496345
48491021300,2625,157.4468085106383,0.18819047619047619,0.036990308918332444,NA,0.19047619047619047,0.13369713506139155,0.20184615384615384,0,0.003242147922998987,0.016761904761904763,0.007575785874835928,0.037333333333333336,0.017223698123404765,0.12495238095238095,0.029396921879637588,44250,4455.31914893617,24981,2173.8601823708204,0.08291082612585744,0.01842904570571256,3353,0,0.1309275275872353,0.2648374589919475,0.5934983596779004
48267950100,2220,106.38297872340425,0.17342342342342343,0.05883711031562095,NA,NA,0.2857142857142857,0.15693430656934307,0,0.003833620854897451,0,0.003833620854897451,0.03783783783783784,0.021006806924950418,0.1355855855855856,0.0546550031958701,49271,10568.996960486322,39238,7372.644376899696,0.015618027666220438,0.008408159884712515,2241,0,0,0.13297634984381973,0.8634538152610441
48267950200,2110,108.20668693009118,0.27440758293838863,0.059731175959159666,NA,0,0.42484662576687116,0.22254974207811348,0,0.0040334778662902086,0,0.0040334778662902086,0.13127962085308056,0.043854500071984694,0.14312796208530806,0.039368266516070755,38848,2987.2340425531916,20492,1752.5835866261398,0.06801125703564728,0.01820623398096806,2132,0,0.0225140712945591,0.3072232645403377,0.6444652908067542
