Year,MSA,Race,Age,Pop
1999,El Paso,A,75-79,14
2000,El Paso,A,50-54,88
2000,El Paso,A,55-59,39
2000,El Paso,A,60-64,31
2000,El Paso,A,65-69,31
2000,El Paso,A,70-74,31
2000,El Paso,A,75-79,15
2001,El Paso,A,50-54,83
2001,El Paso,A,55-59,48
2001,El Paso,A,60-64,34
2001,El Paso,A,65-69,29
2001,El Paso,A,70-74,33
2001,El Paso,A,75-79,15
2002,El Paso,A,50-54,78
2002,El Paso,A,55-59,62
2002,El Paso,A,60-64,39
2002,El Paso,A,65-69,27
2002,El Paso,A,70-74,33
2002,El Paso,A,75-79,17
2003,El Paso,A,50-54,77
2003,El Paso,A,55-59,62
2003,El Paso,A,60-64,35
2003,El Paso,A,65-69,34
2003,El Paso,A,70-74,32
2003,El Paso,A,75-79,20
2004,El Paso,A,50-54,84
2004,El Paso,A,55-59,64
2004,El Paso,A,60-64,47
2004,El Paso,A,65-69,31
2004,El Paso,A,70-74,29
2004,El Paso,A,75-79,15
2005,El Paso,A,50-54,84
2005,El Paso,A,55-59,68
2005,El Paso,A,60-64,43
2005,El Paso,A,65-69,35
2005,El Paso,A,70-74,32
2005,El Paso,A,75-79,24
2006,El Paso,A,50-54,87
2006,El Paso,A,55-59,72
2006,El Paso,A,60-64,46
2006,El Paso,A,65-69,34
2006,El Paso,A,70-74,30
2006,El Paso,A,75-79,22
2007,El Paso,A,50-54,85
2007,El Paso,A,55-59,74
2007,El Paso,A,60-64,55
2007,El Paso,A,65-69,35
2007,El Paso,A,70-74,24
2007,El Paso,A,75-79,26
2008,El Paso,A,50-54,99
2008,El Paso,A,55-59,64
2008,El Paso,A,60-64,50
2008,El Paso,A,65-69,36
2008,El Paso,A,70-74,26
2008,El Paso,A,75-79,20
2009,El Paso,A,50-54,102
2009,El Paso,A,55-59,81
2009,El Paso,A,60-64,61
2009,El Paso,A,65-69,38
2009,El Paso,A,70-74,27
2009,El Paso,A,75-79,27
2010,El Paso,A,50-54,101
2010,El Paso,A,55-59,83
2010,El Paso,A,60-64,65
2010,El Paso,A,65-69,49
2010,El Paso,A,70-74,32
2010,El Paso,A,75-79,29
2011,El Paso,A,50-54,102
2011,El Paso,A,55-59,86
2011,El Paso,A,60-64,69
2011,El Paso,A,65-69,51
2011,El Paso,A,70-74,32
2011,El Paso,A,75-79,28
2012,El Paso,A,50-54,105
2012,El Paso,A,55-59,89
2012,El Paso,A,60-64,69
2012,El Paso,A,65-69,56
2012,El Paso,A,70-74,33
2012,El Paso,A,75-79,29
2013,El Paso,A,50-54,108
2013,El Paso,A,55-59,93
2013,El Paso,A,60-64,69
2013,El Paso,A,65-69,60
2013,El Paso,A,70-74,37
2013,El Paso,A,75-79,29
2014,El Paso,A,50-54,100
2014,El Paso,A,55-59,101
2014,El Paso,A,60-64,72
2014,El Paso,A,65-69,59
2014,El Paso,A,70-74,42
2014,El Paso,A,75-79,29
2015,El Paso,A,50-54,119
2015,El Paso,A,55-59,101
2015,El Paso,A,60-64,80
2015,El Paso,A,65-69,61
2015,El Paso,A,70-74,44
2015,El Paso,A,75-79,28
2016,El Paso,A,50-54,124
2016,El Paso,A,55-59,99
2016,El Paso,A,60-64,78
2016,El Paso,A,65-69,65
2016,El Paso,A,70-74,48
2016,El Paso,A,75-79,29
2017,El Paso,A,50-54,127
2017,El Paso,A,55-59,108
2017,El Paso,A,60-64,81
2017,El Paso,A,65-69,66
2017,El Paso,A,70-74,57
2017,El Paso,A,75-79,31
2018,El Paso,A,50-54,138
2018,El Paso,A,55-59,104
2018,El Paso,A,60-64,93
2018,El Paso,A,65-69,70
2018,El Paso,A,70-74,60
2018,El Paso,A,75-79,35
1999,Houston,A,50-54,245
1999,Houston,A,55-59,150
1999,Houston,A,60-64,103
1999,Houston,A,65-69,76
1999,Houston,A,70-74,54
1999,Houston,A,75-79,41
2000,Houston,A,50-54,274
2000,Houston,A,55-59,165
2000,Houston,A,60-64,110
2000,Houston,A,65-69,75
2000,Houston,A,70-74,63
2000,Houston,A,75-79,47
2001,Houston,A,50-54,301
2001,Houston,A,55-59,177
2001,Houston,A,60-64,127
2001,Houston,A,65-69,74
2001,Houston,A,70-74,65
2001,Houston,A,75-79,48
2002,Houston,A,50-54,352
2002,Houston,A,55-59,189
2002,Houston,A,60-64,127
2002,Houston,A,65-69,81
2002,Houston,A,70-74,74
2002,Houston,A,75-79,52
2003,Houston,A,50-54,397
2003,Houston,A,55-59,232
2003,Houston,A,60-64,132
2003,Houston,A,65-69,96
2003,Houston,A,70-74,75
2003,Houston,A,75-79,46
2004,Houston,A,50-54,436
2004,Houston,A,55-59,256
2004,Houston,A,60-64,151
2004,Houston,A,65-69,99
2004,Houston,A,70-74,83
2004,Houston,A,75-79,51
2005,Houston,A,50-54,468
2005,Houston,A,55-59,297
2005,Houston,A,60-64,147
2005,Houston,A,65-69,103
2005,Houston,A,70-74,72
2005,Houston,A,75-79,51
2006,Houston,A,50-54,505
2006,Houston,A,55-59,340
2006,Houston,A,60-64,163
2006,Houston,A,65-69,129
2006,Houston,A,70-74,92
2006,Houston,A,75-79,58
2007,Houston,A,50-54,533
2007,Houston,A,55-59,372
2007,Houston,A,60-64,182
2007,Houston,A,65-69,142
2007,Houston,A,70-74,105
2007,Houston,A,75-79,75
2008,Houston,A,50-54,609
2008,Houston,A,55-59,419
2008,Houston,A,60-64,213
2008,Houston,A,65-69,154
2008,Houston,A,70-74,116
2008,Houston,A,75-79,76
2009,Houston,A,50-54,636
2009,Houston,A,55-59,498
2009,Houston,A,60-64,263
2009,Houston,A,65-69,172
2009,Houston,A,70-74,111
2009,Houston,A,75-79,83
2010,Houston,A,50-54,729
2010,Houston,A,55-59,514
2010,Houston,A,60-64,310
2010,Houston,A,65-69,180
2010,Houston,A,70-74,123
2010,Houston,A,75-79,72
2011,Houston,A,50-54,782
2011,Houston,A,55-59,531
2011,Houston,A,60-64,349
2011,Houston,A,65-69,182
2011,Houston,A,70-74,134
2011,Houston,A,75-79,76
2012,Houston,A,50-54,825
2012,Houston,A,55-59,551
2012,Houston,A,60-64,395
2012,Houston,A,65-69,195
2012,Houston,A,70-74,132
2012,Houston,A,75-79,89
2013,Houston,A,50-54,854
2013,Houston,A,55-59,597
2013,Houston,A,60-64,410
2013,Houston,A,65-69,225
2013,Houston,A,70-74,133
2013,Houston,A,75-79,88
2014,Houston,A,50-54,877
2014,Houston,A,55-59,652
2014,Houston,A,60-64,453
2014,Houston,A,65-69,238
2014,Houston,A,70-74,130
2014,Houston,A,75-79,108
2015,Houston,A,50-54,915
2015,Houston,A,55-59,702
2015,Houston,A,60-64,486
2015,Houston,A,65-69,290
2015,Houston,A,70-74,143
2015,Houston,A,75-79,109
2016,Houston,A,50-54,973
2016,Houston,A,55-59,741
2016,Houston,A,60-64,508
2016,Houston,A,65-69,321
2016,Houston,A,70-74,143
2016,Houston,A,75-79,112
2017,Houston,A,50-54,965
2017,Houston,A,55-59,791
2017,Houston,A,60-64,522
2017,Houston,A,65-69,366
2017,Houston,A,70-74,157
2017,Houston,A,75-79,107
2018,Houston,A,50-54,993
2018,Houston,A,55-59,807
2018,Houston,A,60-64,565
2018,Houston,A,65-69,376
2018,Houston,A,70-74,196
2018,Houston,A,75-79,102
1999,San Antonio,A,50-54,140
1999,San Antonio,A,55-59,90
1999,San Antonio,A,60-64,53
1999,San Antonio,A,65-69,55
1999,San Antonio,A,70-74,37
1999,San Antonio,A,75-79,27
2000,San Antonio,A,50-54,157
2000,San Antonio,A,55-59,100
2000,San Antonio,A,60-64,63
2000,San Antonio,A,65-69,63
2000,San Antonio,A,70-74,39
2000,San Antonio,A,75-79,30
2001,San Antonio,A,50-54,180
2001,San Antonio,A,55-59,111
2001,San Antonio,A,60-64,67
2001,San Antonio,A,65-69,73
2001,San Antonio,A,70-74,50
2001,San Antonio,A,75-79,35
2002,San Antonio,A,50-54,197
2002,San Antonio,A,55-59,126
2002,San Antonio,A,60-64,71
2002,San Antonio,A,65-69,65
2002,San Antonio,A,70-74,54
2002,San Antonio,A,75-79,40
2003,San Antonio,A,50-54,224
2003,San Antonio,A,55-59,136
2003,San Antonio,A,60-64,77
2003,San Antonio,A,65-69,61
2003,San Antonio,A,70-74,54
2003,San Antonio,A,75-79,40
2004,San Antonio,A,50-54,212
2004,San Antonio,A,55-59,160
2004,San Antonio,A,60-64,84
2004,San Antonio,A,65-69,64
2004,San Antonio,A,70-74,59
2004,San Antonio,A,75-79,46
2005,San Antonio,A,50-54,236
2005,San Antonio,A,55-59,172
2005,San Antonio,A,60-64,108
2005,San Antonio,A,65-69,75
2005,San Antonio,A,70-74,64
2005,San Antonio,A,75-79,40
2006,San Antonio,A,50-54,234
2006,San Antonio,A,55-59,169
2006,San Antonio,A,60-64,115
2006,San Antonio,A,65-69,71
2006,San Antonio,A,70-74,58
2006,San Antonio,A,75-79,51
2007,San Antonio,A,50-54,246
2007,San Antonio,A,55-59,187
2007,San Antonio,A,60-64,126
2007,San Antonio,A,65-69,73
2007,San Antonio,A,70-74,60
2007,San Antonio,A,75-79,56
2008,San Antonio,A,50-54,271
2008,San Antonio,A,55-59,204
2008,San Antonio,A,60-64,143
2008,San Antonio,A,65-69,74
2008,San Antonio,A,70-74,67
2008,San Antonio,A,75-79,56
2009,San Antonio,A,50-54,305
2009,San Antonio,A,55-59,210
2009,San Antonio,A,60-64,164
2009,San Antonio,A,65-69,82
2009,San Antonio,A,70-74,64
2009,San Antonio,A,75-79,60
2010,San Antonio,A,50-54,344
2010,San Antonio,A,55-59,223
2010,San Antonio,A,60-64,180
2010,San Antonio,A,65-69,90
2010,San Antonio,A,70-74,78
2010,San Antonio,A,75-79,53
2011,San Antonio,A,50-54,342
2011,San Antonio,A,55-59,257
2011,San Antonio,A,60-64,186
2011,San Antonio,A,65-69,115
2011,San Antonio,A,70-74,72
2011,San Antonio,A,75-79,63
2012,San Antonio,A,50-54,371
2012,San Antonio,A,55-59,290
2012,San Antonio,A,60-64,196
2012,San Antonio,A,65-69,137
2012,San Antonio,A,70-74,73
2012,San Antonio,A,75-79,65
2013,San Antonio,A,50-54,409
2013,San Antonio,A,55-59,317
2013,San Antonio,A,60-64,212
2013,San Antonio,A,65-69,152
2013,San Antonio,A,70-74,77
2013,San Antonio,A,75-79,77
2014,San Antonio,A,50-54,452
2014,San Antonio,A,55-59,341
2014,San Antonio,A,60-64,217
2014,San Antonio,A,65-69,175
2014,San Antonio,A,70-74,73
2014,San Antonio,A,75-79,76
2015,San Antonio,A,50-54,468
2015,San Antonio,A,55-59,374
2015,San Antonio,A,60-64,249
2015,San Antonio,A,65-69,183
2015,San Antonio,A,70-74,89
2015,San Antonio,A,75-79,76
2016,San Antonio,A,50-54,503
2016,San Antonio,A,55-59,400
2016,San Antonio,A,60-64,281
2016,San Antonio,A,65-69,204
2016,San Antonio,A,70-74,112
2016,San Antonio,A,75-79,69
2017,San Antonio,A,50-54,504
2017,San Antonio,A,55-59,415
2017,San Antonio,A,60-64,311
2017,San Antonio,A,65-69,208
2017,San Antonio,A,70-74,133
2017,San Antonio,A,75-79,68
2018,San Antonio,A,50-54,529
2018,San Antonio,A,55-59,460
2018,San Antonio,A,60-64,342
2018,San Antonio,A,65-69,210
2018,San Antonio,A,70-74,156
2018,San Antonio,A,75-79,73
1999,Austin,B,50-54,136
1999,Austin,B,55-59,54
1999,Austin,B,60-64,46
1999,Austin,B,65-69,40
1999,Austin,B,70-74,25
1999,Austin,B,75-79,17
2000,Austin,B,50-54,139
2000,Austin,B,55-59,56
2000,Austin,B,60-64,50
2000,Austin,B,65-69,41
2000,Austin,B,70-74,23
2000,Austin,B,75-79,16
2001,Austin,B,50-54,167
2001,Austin,B,55-59,75
2001,Austin,B,60-64,60
2001,Austin,B,65-69,46
2001,Austin,B,70-74,21
2001,Austin,B,75-79,23
2002,Austin,B,50-54,186
2002,Austin,B,55-59,101
2002,Austin,B,60-64,67
2002,Austin,B,65-69,60
2002,Austin,B,70-74,28
2002,Austin,B,75-79,26
2003,Austin,B,50-54,199
2003,Austin,B,55-59,120
2003,Austin,B,60-64,70
2003,Austin,B,65-69,67
2003,Austin,B,70-74,34
2003,Austin,B,75-79,28
2004,Austin,B,50-54,226
2004,Austin,B,55-59,140
2004,Austin,B,60-64,85
2004,Austin,B,65-69,58
2004,Austin,B,70-74,38
2004,Austin,B,75-79,24
2005,Austin,B,50-54,243
2005,Austin,B,55-59,152
2005,Austin,B,60-64,83
2005,Austin,B,65-69,70
2005,Austin,B,70-74,43
2005,Austin,B,75-79,27
2006,Austin,B,50-54,268
2006,Austin,B,55-59,191
2006,Austin,B,60-64,98
2006,Austin,B,65-69,78
2006,Austin,B,70-74,54
2006,Austin,B,75-79,28
2007,Austin,B,50-54,301
2007,Austin,B,55-59,220
2007,Austin,B,60-64,118
2007,Austin,B,65-69,85
2007,Austin,B,70-74,59
2007,Austin,B,75-79,26
2008,Austin,B,50-54,344
2008,Austin,B,55-59,227
2008,Austin,B,60-64,146
2008,Austin,B,65-69,91
2008,Austin,B,70-74,69
2008,Austin,B,75-79,32
2009,Austin,B,50-54,385
2009,Austin,B,55-59,263
2009,Austin,B,60-64,165
2009,Austin,B,65-69,105
2009,Austin,B,70-74,70
2009,Austin,B,75-79,35
2010,Austin,B,50-54,387
2010,Austin,B,55-59,266
2010,Austin,B,60-64,186
2010,Austin,B,65-69,107
2010,Austin,B,70-74,69
2010,Austin,B,75-79,41
2011,Austin,B,50-54,415
2011,Austin,B,55-59,289
2011,Austin,B,60-64,206
2011,Austin,B,65-69,114
2011,Austin,B,70-74,75
2011,Austin,B,75-79,48
2012,Austin,B,50-54,467
2012,Austin,B,55-59,309
2012,Austin,B,60-64,230
2012,Austin,B,65-69,135
2012,Austin,B,70-74,82
2012,Austin,B,75-79,44
2013,Austin,B,50-54,506
2013,Austin,B,55-59,362
2013,Austin,B,60-64,237
2013,Austin,B,65-69,148
2013,Austin,B,70-74,99
2013,Austin,B,75-79,45
2014,Austin,B,50-54,541
2014,Austin,B,55-59,392
2014,Austin,B,60-64,271
2014,Austin,B,65-69,175
2014,Austin,B,70-74,95
2014,Austin,B,75-79,57
2015,Austin,B,50-54,581
2015,Austin,B,55-59,424
2015,Austin,B,60-64,285
2015,Austin,B,65-69,194
2015,Austin,B,70-74,105
2015,Austin,B,75-79,65
2016,Austin,B,50-54,638
2016,Austin,B,55-59,431
2016,Austin,B,60-64,310
2016,Austin,B,65-69,200
2016,Austin,B,70-74,113
2016,Austin,B,75-79,72
2017,Austin,B,50-54,636
2017,Austin,B,55-59,499
2017,Austin,B,60-64,319
2017,Austin,B,65-69,220
2017,Austin,B,70-74,128
2017,Austin,B,75-79,76
2018,Austin,B,50-54,663
2018,Austin,B,55-59,533
2018,Austin,B,60-64,370
2018,Austin,B,65-69,237
2018,Austin,B,70-74,143
2018,Austin,B,75-79,89
1999,Dallas,B,50-54,381
1999,Dallas,B,55-59,269
1999,Dallas,B,60-64,190
1999,Dallas,B,65-69,123
1999,Dallas,B,70-74,102
1999,Dallas,B,75-79,78
2000,Dallas,B,50-54,393
2000,Dallas,B,55-59,276
2000,Dallas,B,60-64,190
2000,Dallas,B,65-69,123
2000,Dallas,B,70-74,100
2000,Dallas,B,75-79,88
2001,Dallas,B,50-54,467
2001,Dallas,B,55-59,309
2001,Dallas,B,60-64,200
2001,Dallas,B,65-69,145
2001,Dallas,B,70-74,110
2001,Dallas,B,75-79,95
2002,Dallas,B,50-54,525
2002,Dallas,B,55-59,329
2002,Dallas,B,60-64,221
2002,Dallas,B,65-69,157
2002,Dallas,B,70-74,117
2002,Dallas,B,75-79,115
2003,Dallas,B,50-54,570
2003,Dallas,B,55-59,391
2003,Dallas,B,60-64,247
2003,Dallas,B,65-69,162
2003,Dallas,B,70-74,119
2003,Dallas,B,75-79,110
2004,Dallas,B,50-54,662
2004,Dallas,B,55-59,446
2004,Dallas,B,60-64,283
2004,Dallas,B,65-69,187
2004,Dallas,B,70-74,120
2004,Dallas,B,75-79,107
2005,Dallas,B,50-54,779
2005,Dallas,B,55-59,490
2005,Dallas,B,60-64,333
2005,Dallas,B,65-69,211
2005,Dallas,B,70-74,140
2005,Dallas,B,75-79,117
2006,Dallas,B,50-54,869
2006,Dallas,B,55-59,541
2006,Dallas,B,60-64,344
2006,Dallas,B,65-69,216
2006,Dallas,B,70-74,171
2006,Dallas,B,75-79,103
2007,Dallas,B,50-54,977
2007,Dallas,B,55-59,602
2007,Dallas,B,60-64,389
2007,Dallas,B,65-69,256
2007,Dallas,B,70-74,171
2007,Dallas,B,75-79,103
2008,Dallas,B,50-54,1139
2008,Dallas,B,55-59,654
2008,Dallas,B,60-64,463
2008,Dallas,B,65-69,268
2008,Dallas,B,70-74,177
2008,Dallas,B,75-79,121
2009,Dallas,B,50-54,1256
2009,Dallas,B,55-59,746
2009,Dallas,B,60-64,523
2009,Dallas,B,65-69,290
2009,Dallas,B,70-74,212
2009,Dallas,B,75-79,125
2010,Dallas,B,50-54,1378
2010,Dallas,B,55-59,859
2010,Dallas,B,60-64,562
2010,Dallas,B,65-69,320
2010,Dallas,B,70-74,205
2010,Dallas,B,75-79,131
2011,Dallas,B,50-54,1468
2011,Dallas,B,55-59,957
2011,Dallas,B,60-64,619
2011,Dallas,B,65-69,362
2011,Dallas,B,70-74,208
2011,Dallas,B,75-79,132
2012,Dallas,B,50-54,1633
2012,Dallas,B,55-59,1082
2012,Dallas,B,60-64,693
2012,Dallas,B,65-69,395
2012,Dallas,B,70-74,223
2012,Dallas,B,75-79,130
2013,Dallas,B,50-54,1762
2013,Dallas,B,55-59,1189
2013,Dallas,B,60-64,747
2013,Dallas,B,65-69,432
2013,Dallas,B,70-74,251
2013,Dallas,B,75-79,139
2014,Dallas,B,50-54,1927
2014,Dallas,B,55-59,1296
2014,Dallas,B,60-64,831
2014,Dallas,B,65-69,498
2014,Dallas,B,70-74,280
2014,Dallas,B,75-79,165
2015,Dallas,B,50-54,1991
2015,Dallas,B,55-59,1445
2015,Dallas,B,60-64,906
2015,Dallas,B,65-69,537
2015,Dallas,B,70-74,313
2015,Dallas,B,75-79,168
2016,Dallas,B,50-54,2094
2016,Dallas,B,55-59,1558
2016,Dallas,B,60-64,956
2016,Dallas,B,65-69,620
2016,Dallas,B,70-74,338
2016,Dallas,B,75-79,175
2017,Dallas,B,50-54,2191
2017,Dallas,B,55-59,1696
2017,Dallas,B,60-64,1071
2017,Dallas,B,65-69,665
2017,Dallas,B,70-74,380
2017,Dallas,B,75-79,195
2018,Dallas,B,50-54,2286
2018,Dallas,B,55-59,1845
2018,Dallas,B,60-64,1159
2018,Dallas,B,65-69,713
2018,Dallas,B,70-74,412
2018,Dallas,B,75-79,237
1999,El Paso,B,50-54,85
1999,El Paso,B,55-59,65
1999,El Paso,B,60-64,51
1999,El Paso,B,65-69,36
1999,El Paso,B,70-74,34
1999,El Paso,B,75-79,23
2000,El Paso,B,50-54,92
2000,El Paso,B,55-59,67
2000,El Paso,B,60-64,49
2000,El Paso,B,65-69,41
2000,El Paso,B,70-74,37
2000,El Paso,B,75-79,26
2001,El Paso,B,50-54,103
2001,El Paso,B,55-59,57
2001,El Paso,B,60-64,54
2001,El Paso,B,65-69,48
2001,El Paso,B,70-74,30
2001,El Paso,B,75-79,39
2002,El Paso,B,50-54,114
2002,El Paso,B,55-59,70
2002,El Paso,B,60-64,65
2002,El Paso,B,65-69,50
2002,El Paso,B,70-74,27
2002,El Paso,B,75-79,39
2003,El Paso,B,50-54,133
2003,El Paso,B,55-59,68
2003,El Paso,B,60-64,66
2003,El Paso,B,65-69,53
2003,El Paso,B,70-74,33
2003,El Paso,B,75-79,38
2004,El Paso,B,50-54,139
2004,El Paso,B,55-59,88
2004,El Paso,B,60-64,62
2004,El Paso,B,65-69,54
2004,El Paso,B,70-74,30
2004,El Paso,B,75-79,34
2005,El Paso,B,50-54,151
2005,El Paso,B,55-59,90
2005,El Paso,B,60-64,60
2005,El Paso,B,65-69,64
2005,El Paso,B,70-74,30
2005,El Paso,B,75-79,31
2006,El Paso,B,50-54,148
2006,El Paso,B,55-59,113
2006,El Paso,B,60-64,59
2006,El Paso,B,65-69,70
2006,El Paso,B,70-74,39
2006,El Paso,B,75-79,27
2007,El Paso,B,50-54,169
2007,El Paso,B,55-59,121
2007,El Paso,B,60-64,74
2007,El Paso,B,65-69,69
2007,El Paso,B,70-74,37
2007,El Paso,B,75-79,25
2008,El Paso,B,50-54,175
2008,El Paso,B,55-59,140
2008,El Paso,B,60-64,80
2008,El Paso,B,65-69,75
2008,El Paso,B,70-74,46
2008,El Paso,B,75-79,28
2009,El Paso,B,50-54,191
2009,El Paso,B,55-59,148
2009,El Paso,B,60-64,94
2009,El Paso,B,65-69,66
2009,El Paso,B,70-74,59
2009,El Paso,B,75-79,34
2010,El Paso,B,50-54,235
2010,El Paso,B,55-59,174
2010,El Paso,B,60-64,111
2010,El Paso,B,65-69,76
2010,El Paso,B,70-74,62
2010,El Paso,B,75-79,41
2011,El Paso,B,50-54,250
2011,El Paso,B,55-59,202
2011,El Paso,B,60-64,124
2011,El Paso,B,65-69,85
2011,El Paso,B,70-74,62
2011,El Paso,B,75-79,46
2012,El Paso,B,50-54,270
2012,El Paso,B,55-59,210
2012,El Paso,B,60-64,127
2012,El Paso,B,65-69,93
2012,El Paso,B,70-74,58
2012,El Paso,B,75-79,47
2013,El Paso,B,50-54,278
2013,El Paso,B,55-59,223
2013,El Paso,B,60-64,141
2013,El Paso,B,65-69,94
2013,El Paso,B,70-74,64
2013,El Paso,B,75-79,50
2014,El Paso,B,50-54,288
2014,El Paso,B,55-59,218
2014,El Paso,B,60-64,149
2014,El Paso,B,65-69,93
2014,El Paso,B,70-74,71
2014,El Paso,B,75-79,53
2015,El Paso,B,50-54,296
2015,El Paso,B,55-59,238
2015,El Paso,B,60-64,157
2015,El Paso,B,65-69,103
2015,El Paso,B,70-74,72
2015,El Paso,B,75-79,61
2016,El Paso,B,50-54,290
2016,El Paso,B,55-59,251
2016,El Paso,B,60-64,181
2016,El Paso,B,65-69,117
2016,El Paso,B,70-74,73
2016,El Paso,B,75-79,66
2017,El Paso,B,50-54,298
2017,El Paso,B,55-59,274
2017,El Paso,B,60-64,223
2017,El Paso,B,65-69,108
2017,El Paso,B,70-74,81
2017,El Paso,B,75-79,58
2018,El Paso,B,50-54,302
2018,El Paso,B,55-59,273
2018,El Paso,B,60-64,219
2018,El Paso,B,65-69,132
2018,El Paso,B,70-74,88
2018,El Paso,B,75-79,62
1999,Houston,B,50-54,620
1999,Houston,B,55-59,353
1999,Houston,B,60-64,256
1999,Houston,B,65-69,198
1999,Houston,B,70-74,151
1999,Houston,B,75-79,91
2000,Houston,B,50-54,663
2000,Houston,B,55-59,360
2000,Houston,B,60-64,261
2000,Houston,B,65-69,198
2000,Houston,B,70-74,150
2000,Houston,B,75-79,98
2001,Houston,B,50-54,748
2001,Houston,B,55-59,421
2001,Houston,B,60-64,271
2001,Houston,B,65-69,222
2001,Houston,B,70-74,168
2001,Houston,B,75-79,108
2002,Houston,B,50-54,826
2002,Houston,B,55-59,495
2002,Houston,B,60-64,285
2002,Houston,B,65-69,234
2002,Houston,B,70-74,146
2002,Houston,B,75-79,133
2003,Houston,B,50-54,881
2003,Houston,B,55-59,573
2003,Houston,B,60-64,313
2003,Houston,B,65-69,243
2003,Houston,B,70-74,168
2003,Houston,B,75-79,133
2004,Houston,B,50-54,1044
2004,Houston,B,55-59,616
2004,Houston,B,60-64,354
2004,Houston,B,65-69,294
2004,Houston,B,70-74,164
2004,Houston,B,75-79,138
2005,Houston,B,50-54,1167
2005,Houston,B,55-59,658
2005,Houston,B,60-64,409
2005,Houston,B,65-69,298
2005,Houston,B,70-74,198
2005,Houston,B,75-79,160
2006,Houston,B,50-54,1284
2006,Houston,B,55-59,780
2006,Houston,B,60-64,434
2006,Houston,B,65-69,358
2006,Houston,B,70-74,208
2006,Houston,B,75-79,170
2007,Houston,B,50-54,1432
2007,Houston,B,55-59,884
2007,Houston,B,60-64,514
2007,Houston,B,65-69,385
2007,Houston,B,70-74,225
2007,Houston,B,75-79,171
2008,Houston,B,50-54,1641
2008,Houston,B,55-59,989
2008,Houston,B,60-64,582
2008,Houston,B,65-69,399
2008,Houston,B,70-74,242
2008,Houston,B,75-79,191
2009,Houston,B,50-54,1803
2009,Houston,B,55-59,1147
2009,Houston,B,60-64,666
2009,Houston,B,65-69,451
2009,Houston,B,70-74,269
2009,Houston,B,75-79,207
2010,Houston,B,50-54,1948
2010,Houston,B,55-59,1342
2010,Houston,B,60-64,806
2010,Houston,B,65-69,506
2010,Houston,B,70-74,305
2010,Houston,B,75-79,233
2011,Houston,B,50-54,2049
2011,Houston,B,55-59,1458
2011,Houston,B,60-64,897
2011,Houston,B,65-69,537
2011,Houston,B,70-74,309
2011,Houston,B,75-79,238
2012,Houston,B,50-54,2159
2012,Houston,B,55-59,1555
2012,Houston,B,60-64,1001
2012,Houston,B,65-69,585
2012,Houston,B,70-74,342
2012,Houston,B,75-79,242
2013,Houston,B,50-54,2266
2013,Houston,B,55-59,1681
2013,Houston,B,60-64,1113
2013,Houston,B,65-69,630
2013,Houston,B,70-74,387
2013,Houston,B,75-79,264
2014,Houston,B,50-54,2410
2014,Houston,B,55-59,1814
2014,Houston,B,60-64,1254
2014,Houston,B,65-69,669
2014,Houston,B,70-74,434
2014,Houston,B,75-79,282
2015,Houston,B,50-54,2580
2015,Houston,B,55-59,1963
2015,Houston,B,60-64,1366
2015,Houston,B,65-69,774
2015,Houston,B,70-74,458
2015,Houston,B,75-79,270
2016,Houston,B,50-54,2793
2016,Houston,B,55-59,2090
2016,Houston,B,60-64,1501
2016,Houston,B,65-69,890
2016,Houston,B,70-74,479
2016,Houston,B,75-79,286
2017,Houston,B,50-54,2970
2017,Houston,B,55-59,2230
2017,Houston,B,60-64,1613
2017,Houston,B,65-69,1012
2017,Houston,B,70-74,535
2017,Houston,B,75-79,319
2018,Houston,B,50-54,3150
2018,Houston,B,55-59,2344
2018,Houston,B,60-64,1751
2018,Houston,B,65-69,1138
2018,Houston,B,70-74,569
2018,Houston,B,75-79,369
1999,San Antonio,B,50-54,245
1999,San Antonio,B,55-59,128
1999,San Antonio,B,60-64,86
1999,San Antonio,B,65-69,78
1999,San Antonio,B,70-74,49
1999,San Antonio,B,75-79,33
2000,San Antonio,B,50-54,280
2000,San Antonio,B,55-59,147
2000,San Antonio,B,60-64,89
2000,San Antonio,B,65-69,83
2000,San Antonio,B,70-74,51
2000,San Antonio,B,75-79,33
2001,San Antonio,B,50-54,299
2001,San Antonio,B,55-59,185
2001,San Antonio,B,60-64,93
2001,San Antonio,B,65-69,81
2001,San Antonio,B,70-74,63
2001,San Antonio,B,75-79,40
2002,San Antonio,B,50-54,307
2002,San Antonio,B,55-59,213
2002,San Antonio,B,60-64,110
2002,San Antonio,B,65-69,90
2002,San Antonio,B,70-74,71
2002,San Antonio,B,75-79,39
2003,San Antonio,B,50-54,349
2003,San Antonio,B,55-59,217
2003,San Antonio,B,60-64,126
2003,San Antonio,B,65-69,89
2003,San Antonio,B,70-74,81
2003,San Antonio,B,75-79,41
2004,San Antonio,B,50-54,391
2004,San Antonio,B,55-59,254
2004,San Antonio,B,60-64,147
2004,San Antonio,B,65-69,111
2004,San Antonio,B,70-74,83
2004,San Antonio,B,75-79,46
2005,San Antonio,B,50-54,394
2005,San Antonio,B,55-59,306
2005,San Antonio,B,60-64,180
2005,San Antonio,B,65-69,111
2005,San Antonio,B,70-74,80
2005,San Antonio,B,75-79,69
2006,San Antonio,B,50-54,434
2006,San Antonio,B,55-59,332
2006,San Antonio,B,60-64,202
2006,San Antonio,B,65-69,120
2006,San Antonio,B,70-74,89
