Year,MSA,Age,zone,pop,lwr,upr,CV,.width
2013,Dallas,65-74,1,40468.861800770945,33505.36250500723,47280.31729775075,0.3403840429354774,0.9
2014,Dallas,65-74,1,42143.28698808215,34383.26889889982,50031.557941071034,0.3713115459312998,0.9
2015,Dallas,65-74,1,43894.62524818637,35685.40948741712,52608.23618130152,0.3855330031456099,0.9
2016,Dallas,65-74,1,45366.6592924317,36295.20617198815,54174.95449630056,0.3941164856124903,0.9
2017,Dallas,65-74,1,46457.15212474259,39228.582014012696,53805.71755272637,0.31377591763637275,0.9
2018,Dallas,65-74,1,47264.69755864698,39162.74543798987,55242.19638818562,0.34020001778799175,0.9
2019,Dallas,65-74,1,47557.258897297485,36020.667247474485,58891.248734080014,0.4809062174082785,0.9
1999,Dallas,75-84,0,5248.922100872399,1621.126656656194,9560.17050668693,1.5125093681064967,0.9
2000,Dallas,75-84,0,4964,4964,4964,0,0.9
2001,Dallas,75-84,0,5836.761535208459,2226.7429508599257,10022.147412355556,1.33557014698515,0.9
2002,Dallas,75-84,0,6639.367227954165,2172.8811882489163,12127.427652513934,1.4993215652167478,0.9
2003,Dallas,75-84,0,7289.423473057349,2314.3166757956233,13530.184214230878,1.538649466571746,0.9
2004,Dallas,75-84,0,7831.523725415067,2735.520303708174,14252.675642190248,1.4706148818915403,0.9
2005,Dallas,75-84,0,8244.657214015298,3102.0463804466262,14463.550277916587,1.378044423503291,0.9
2006,Dallas,75-84,0,8631.55962810473,3448.56173780129,14369.103369655995,1.2651875330035318,0.9
2007,Dallas,75-84,0,9002.974617300317,4066.671147858473,14367.679974841332,1.1441783704674908,0.9
2008,Dallas,75-84,0,9365.883358638688,4361.612229894821,14532.378873116508,1.0859377865132829,0.9
2009,Dallas,75-84,0,9737.659122142628,4905.784165239488,14732.029860568631,1.0090973171349855,0.9
2010,Dallas,75-84,0,10142.115282270464,5504.387495784554,14720.627062958914,0.9087098017200972,0.9
2011,Dallas,75-84,0,10482.305253308848,6670.818194806668,14273.047808298244,0.7252440593725176,0.9
2012,Dallas,75-84,0,11035.293820272253,7971.000392726591,14179.429236603846,0.5625975116740559,0.9
2013,Dallas,75-84,0,11590.621733957949,8821.429426535167,14411.389416295357,0.4822830144980787,0.9
2014,Dallas,75-84,0,12232.325796265464,9080.192813080568,15296.58237907874,0.5081935904532594,0.9
2015,Dallas,75-84,0,13008.619787724769,9627.925772490322,16173.23916488429,0.5031520252878999,0.9
2016,Dallas,75-84,0,13760.1456070744,10514.374776633797,16988.14523000806,0.4704725253812687,0.9
2017,Dallas,75-84,0,14381.672025266476,11430.38474233443,17452.098214422807,0.4187074674981543,0.9
2018,Dallas,75-84,0,14848.667414313868,11914.139480134983,18000.60884888139,0.4099000401126335,0.9
2019,Dallas,75-84,0,15094.5265836241,10892.627370955115,19718.82878785376,0.5847286013245424,0.9
1999,Dallas,75-84,1,6992.1772682949495,3569.271465348544,10578.697887517972,1.0024669217058744,0.9
2000,Dallas,75-84,1,6866,6866,6866,0,0.9
2001,Dallas,75-84,1,7437.926472573687,4333.14586757512,10932.288806731329,0.8872288484552281,0.9
2002,Dallas,75-84,1,7929.616507530276,3894.222461873311,12285.198941909464,1.0581818770261775,0.9
2003,Dallas,75-84,1,8427.463225181484,4117.770146955881,13347.07653134029,1.0951464441644785,0.9
2004,Dallas,75-84,1,8810.202584931667,4444.8646342686925,13712.499850092569,1.0519207846224292,0.9
2005,Dallas,75-84,1,9215.22459503414,4981.375245880585,13877.58741812644,0.9653820241168954,0.9
2006,Dallas,75-84,1,9482.713730255366,6152.8552449339395,12855.15139419658,0.7067909398001146,0.9
2007,Dallas,75-84,1,9845.055477345271,7216.303222647959,12549.749209499649,0.5417385406435371,0.9
2008,Dallas,75-84,1,10317.39466522355,7834.847794410576,12763.835421104695,0.4777356868307142,0.9
2009,Dallas,75-84,1,10772.779542855693,8017.4187061291595,13335.36498012538,0.4936466260021988,0.9
2010,Dallas,75-84,1,11338.014725340088,8270.190745399164,14346.851053693368,0.5359545260347095,0.9
2011,Dallas,75-84,1,11926.418293767416,9006.488635574657,14797.995904866142,0.4856032319709974,0.9
2012,Dallas,75-84,1,12512.08927020308,9933.664324099404,14976.08217554656,0.4030036664984018,0.9
