GEOID,Age,Race,pop
48005001000,50-54,API,2
48005001000,50-54,BLACK,68
48005001000,50-54,LATINO,114
48005001000,50-54,WHITE,306
48005001000,55-59,API,4
48005001000,55-59,BLACK,53
48005001000,55-59,LATINO,57
48005001000,55-59,WHITE,267
48005001000,60-64,API,0
48005001000,60-64,BLACK,39
48005001000,60-64,LATINO,47
48005001000,60-64,WHITE,254
48005001000,65-69,API,0
48005001000,65-69,BLACK,23
48005001000,65-69,LATINO,42
48005001000,65-69,WHITE,195
48005001000,70-74,API,0
48005001000,70-74,BLACK,18
48005001000,70-74,LATINO,26
48005001000,70-74,WHITE,149
48005001000,75-79,API,0
48005001000,75-79,BLACK,13
48005001000,75-79,LATINO,11
48005001000,75-79,WHITE,135
48005001000,80-84,API,0
48005001000,80-84,BLACK,13
48005001000,80-84,LATINO,8
48005001000,80-84,WHITE,109
48005001100,50-54,API,0
48005001100,50-54,BLACK,6
48005001100,50-54,LATINO,4
48005001100,50-54,WHITE,361
48005001100,55-59,API,0
48005001100,55-59,BLACK,11
48005001100,55-59,LATINO,3
48005001100,55-59,WHITE,252
48005001100,60-64,API,2
48005001100,60-64,BLACK,11
48005001100,60-64,LATINO,1
48005001100,60-64,WHITE,245
48005001100,65-69,API,0
48005001100,65-69,BLACK,8
48005001100,65-69,LATINO,0
48005001100,65-69,WHITE,221
48005001100,70-74,API,0
48005001100,70-74,BLACK,5
48005001100,70-74,LATINO,0
48005001100,70-74,WHITE,169
48005001100,75-79,API,0
48005001100,75-79,BLACK,2
48005001100,75-79,LATINO,0
48005001100,75-79,WHITE,128
48005001100,80-84,API,0
48005001100,80-84,BLACK,4
48005001100,80-84,LATINO,0
48005001100,80-84,WHITE,80
48005001200,50-54,API,0
48005001200,50-54,BLACK,3
48005001200,50-54,LATINO,2
48005001200,50-54,WHITE,173
48005001200,55-59,API,0
48005001200,55-59,BLACK,0
48005001200,55-59,LATINO,2
48005001200,55-59,WHITE,165
48005001200,60-64,API,0
48005001200,60-64,BLACK,0
48005001200,60-64,LATINO,4
48005001200,60-64,WHITE,190
48005001200,65-69,API,0
48005001200,65-69,BLACK,0
48005001200,65-69,LATINO,1
48005001200,65-69,WHITE,162
48005001200,70-74,API,0
48005001200,70-74,BLACK,0
48005001200,70-74,LATINO,0
48005001200,70-74,WHITE,144
48005001200,75-79,API,2
48005001200,75-79,BLACK,0
48005001200,75-79,LATINO,1
48005001200,75-79,WHITE,90
48005001200,80-84,API,0
48005001200,80-84,BLACK,0
48005001200,80-84,LATINO,2
48005001200,80-84,WHITE,55
48005001300,50-54,API,0
48005001300,50-54,BLACK,6
48005001300,50-54,LATINO,4
48005001300,50-54,WHITE,272
48005001300,55-59,API,0
48005001300,55-59,BLACK,1
48005001300,55-59,LATINO,4
48005001300,55-59,WHITE,242
48005001300,60-64,API,0
48005001300,60-64,BLACK,1
48005001300,60-64,LATINO,1
48005001300,60-64,WHITE,213
48005001300,65-69,API,0
48005001300,65-69,BLACK,2
48005001300,65-69,LATINO,1
48005001300,65-69,WHITE,198
48005001300,70-74,API,0
48005001300,70-74,BLACK,1
48005001300,70-74,LATINO,2
48005001300,70-74,WHITE,154
48005001300,75-79,API,0
48005001300,75-79,BLACK,1
48005001300,75-79,LATINO,0
48005001300,75-79,WHITE,128
48005001300,80-84,API,0
48005001300,80-84,BLACK,1
48005001300,80-84,LATINO,1
48005001300,80-84,WHITE,70
48007950100,50-54,API,28
48007950100,50-54,BLACK,2
48007950100,50-54,LATINO,35
48007950100,50-54,WHITE,419
48007950100,55-59,API,34
48007950100,55-59,BLACK,2
48007950100,55-59,LATINO,16
